year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 4810 900 24449 26055 40411 45457 30697 172779
1979 2 4266 819 22046 23017 36109 40138 26570 152965
1979 3 4698 887 24352 24706 38720 42583 27881 163827
1979 4 4311 893 23671 23946 37345 40801 27070 158037
1979 5 4494 1000 24953 24278 37929 41301 27187 161142
1979 6 4434 1105 24054 23191 35763 38813 25337 152697
1979 7 4471 1155 25301 23535 36519 39194 25697 155872
1979 8 4364 1023 24724 23170 36077 38515 25217 153090
1979 9 4447 877 23830 22220 34938 38497 25341 150150
1979 10 4543 874 24574 24400 38232 42058 28160 162841
1979 11 4387 817 23749 23757 37548 41425 28303 159986
1979 12 4684 882 24984 25200 40348 45280 31338 172716
1980 1 4747 864 24197 25784 41102 46609 33061 176364
1980 2 4457 854 22905 24770 40162 46575 34248 173971
1980 3 4621 821 23858 25302 41190 47430 34138 177360
1980 4 4326 772 23023 23904 38175 41451 28426 160077
1980 5 4457 943 24286 24071 38414 41225 26875 160271
1980 6 4409 1091 24792 23121 36224 39096 25702 154435
1980 7 4597 1185 26506 24364 38166 41339 27541 163698
1980 8 4392 1063 25989 23529 36703 39513 26398 157587
1980 9 4321 773 23734 22639 35727 38260 25713 151167
1980 10 4502 804 23736 24156 38803 42691 29100 163792
1980 11 4339 776 23697 24213 38405 42880 29871 164181
1980 12 4655 838 25357 26881 44267 50640 37010 189648
1981 1 4607 835 25607 28157 46327 54999 42556 203088
1981 2 4077 802 21837 23416 37723 42909 31050 161814
1981 3 4598 782 23622 24686 40248 44243 30944 169123
1981 4 4241 784 23093 23616 37896 41232 28243 159105
1981 5 4216 870 24033 24431 38757 41693 28262 162262
1981 6 4176 1021 23971 23095 36500 39367 26588 154718
1981 7 4247 1074 25290 23652 37097 40194 27463 159017
1981 8 4234 982 24516 23502 36542 39766 27379 156921
1981 9 4075 709 22954 22731 36053 38966 26836 152324
1981 10 4477 787 23826 24237 39034 43022 30436 165819
1981 11 4164 740 22677 23792 38309 42255 29790 161727
1981 12 4385 773 23852 25290 40962 46450 33062 174774
1982 1 4615 792 23222 26164 42170 48389 34553 179905
1982 2 4000 649 20694 22423 36489 40965 29537 154757
1982 3 4463 779 23101 24807 41153 46508 32759 173570
1982 4 4436 780 22509 24099 40404 44641 32015 168884
1982 5 4313 840 23783 24259 39586 43844 30283 166908
1982 6 3931 907 22925 23043 36853 41062 27690 156411
1982 7 4047 1090 24516 23890 38222 41873 29362 163000
1982 8 4029 934 23645 23319 36902 41050 28204 158083
1982 9 4101 754 22196 22670 36708 40439 28295 155163
1982 10 4239 755 22633 24328 39221 44162 30577 165915
1982 11 4102 676 21757 23518 38179 43092 30477 161801
1982 12 4159 748 22730 25076 40734 46372 33072 172891
1983 1 4379 711 22895 25801 42644 49257 36224 181911
1983 2 3907 647 20569 23668 39313 45687 34416 168207
1983 3 4223 737 22062 25250 41725 49004 35909 178910
1983 4 3969 736 21789 24140 40058 45472 33526 169690
1983 5 4023 789 22674 24308 39807 44534 31164 167299
1983 6 3833 902 22073 22924 37852 41688 28786 158058
1983 7 3878 959 23681 24062 38448 43330 30491 164849
1983 8 4056 902 23262 23302 37402 41978 29352 160254
1983 9 3960 717 21844 22479 36723 41184 28830 155737
1983 10 4100 712 22369 23718 39241 44629 31793 166562
1983 11 4048 663 21817 23561 39095 44991 32417 166592
1983 12 4171 741 23062 26282 42786 49895 36555 183492
1984 1 4176 721 22370 25597 42830 49918 38038 183650
1984 2 3918 736 21139 23677 39368 46017 34495 169350
1984 3 4056 679 22528 25203 42492 49394 37172 181524
1984 4 3860 758 21630 24084 40249 46841 34174 171596
1984 5 3969 766 22543 23939 40100 45838 32604 169759
1984 6 3878 883 22621 23172 38267 43076 30230 162127
1984 7 3820 910 23238 23220 38016 42709 29882 161795
1984 8 3780 846 23112 23264 37254 42778 29820 160854
1984 9 3721 743 22191 22479 36918 42389 30055 158496
1984 10 4005 693 22573 23887 39398 45224 32362 168142
1984 11 3901 663 22354 23911 39964 46385 33290 170468
1984 12 3976 725 23221 25415 42439 50774 37464 184014
1985 1 4240 725 23336 27260 46289 56569 43152 201571
1985 2 3720 682 21252 24165 41945 51751 40726 184241
1985 3 4059 701 22836 24802 42318 50432 37692 182840
1985 4 3983 715 21954 23300 39535 46297 33231 169015
1985 5 3963 758 22822 23644 39470 45425 32434 168516
1985 6 3731 900 22840 22452 37772 42997 30286 160978
1985 7 3884 953 23638 23049 38344 43847 31131 164846
1985 8 3708 836 23575 23078 37455 43287 30718 162657
1985 9 3893 713 22288 22751 37470 43393 31192 161700
1985 10 3965 632 22801 23423 40123 46755 34756 172455
1985 11 3959 654 22361 23361 39149 46274 34472 170230
1985 12 4395 712 23525 25731 43433 52285 39368 189449
1986 1 4202 701 23726 25597 44325 54174 42096 194821
1986 2 3711 692 21409 23264 41018 49563 38805 178462
1986 3 4043 749 23670 24751 43935 52407 40614 190169
1986 4 3764 689 22572 23131 40166 47352 34962 172636
1986 5 3922 752 23897 23306 39862 46859 33718 172316
1986 6 3729 847 23789 22078 37715 44015 31498 163671
1986 7 3939 931 25106 23039 39134 45090 32880 170119
1986 8 3795 837 24644 22529 38218 44600 31514 166137
1986 9 3674 724 23169 21828 37921 43928 31979 163223
1986 10 3815 623 23618 22819 40107 47071 34666 172719
1986 11 3860 611 23231 22905 40363 48133 35480 174583
1986 12 4028 703 24191 24284 43493 52440 39382 188521
1987 1 4159 686 24132 25293 44943 55139 42117 196469
1987 2 3551 575 21356 21910 39375 47305 36470 170542
1987 3 3929 691 24094 23816 42999 52145 39243 186917
1987 4 3708 660 23065 22967 40445 48533 36057 175435
1987 5 3855 776 24247 22838 40608 47933 34789 175046
1987 6 3782 864 23863 22187 38671 45010 33116 167493
1987 7 3766 945 24889 22774 39364 46344 34066 172148
1987 8 3751 877 25056 22158 38783 45647 33969 170241
1987 9 3632 678 23202 21315 37700 45277 33213 165017
1987 10 3940 643 24592 22653 41390 49684 38017 180919
1987 11 3896 657 23113 22101 39918 48797 37379 175861
1987 12 4008 742 24463 23828 42637 53045 40942 189665
1988 1 4073 761 24569 24479 44584 57045 45345 200856
1988 2 3804 635 22926 23246 42706 54341 44154 191812
1988 3 4035 674 24391 23879 44596 55731 44954 198260
1988 4 3699 660 23494 22220 40061 49327 37023 176484
1988 5 3805 816 24356 22438 40367 48852 36328 176962
1988 6 3759 856 23750 21478 38617 46029 33771 168260
1988 7 3845 963 25832 21958 39018 46447 34339 172402
1988 8 3719 859 25648 21893 38568 46715 34267 171669
1988 9 3774 649 24061 21155 37303 45820 33643 166405
1988 10 3923 702 24948 22328 40689 49541 37541 179672
1988 11 3940 667 23775 21694 39795 48651 36885 175407
1988 12 4075 727 25498 23526 43039 53938 41610 192413
1989 1 4151 744 25268 23798 44147 55934 44007 198049
