year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 369 62 1808 2119 3158 3649 2500 13665
1979 2 328 58 1612 1749 2635 3053 2060 11495
1979 3 347 65 1760 1859 2853 3240 2272 12396
1979 4 377 64 1731 1864 2843 3025 2144 12048
1979 5 372 74 2070 1923 2918 3267 2299 12923
1979 6 332 84 1782 1770 2765 2975 1968 11676
1979 7 368 76 1788 1745 2760 3044 1965 11746
1979 8 376 73 1805 1689 2723 2913 1982 11561
1979 9 358 47 1777 1667 2623 3017 1975 11464
1979 10 377 67 1857 1812 2841 3258 2268 12480
1979 11 345 56 1722 1780 2788 3129 2166 11986
1979 12 414 63 1862 1857 2946 3551 2521 13214
1980 1 376 64 1769 1923 3001 3417 2614 13164
1980 2 363 73 1602 1836 2895 3668 2785 13222
1980 3 387 62 1687 1803 2927 3526 2637 13029
1980 4 356 60 1652 1710 2747 2977 2139 11641
1980 5 363 54 1683 1821 2789 3118 2063 11891
1980 6 335 79 1697 1662 2548 2924 1967 11212
1980 7 373 88 1893 1752 2768 3206 2258 12338
1980 8 361 74 1806 1702 2739 2998 2088 11768
1980 9 353 63 1715 1718 2606 2912 2051 11418
1980 10 351 73 1720 1795 2809 3320 2280 12348
1980 11 342 49 1688 1821 2838 3148 2289 12175
1980 12 334 54 1730 1895 3143 3693 2759 13608
1981 1 336 57 1896 2062 3335 4127 3446 15259
1981 2 333 61 1524 1676 2668 3341 2378 11981
1981 3 365 63 1717 1809 2833 3336 2369 12492
1981 4 337 52 1638 1632 2690 3032 2043 11424
1981 5 361 52 1695 1805 2858 3119 2111 12001
1981 6 291 60 1667 1683 2665 2858 2060 11284
1981 7 310 73 1734 1777 2706 2974 1975 11549
1981 8 333 53 1779 1718 2696 2991 2077 11647
1981 9 310 53 1604 1751 2656 2909 2123 11406
1981 10 353 47 1697 1801 2868 3269 2446 12481
1981 11 317 59 1606 1776 2833 3147 2329 12067
1981 12 335 47 1696 1910 2885 3572 2646 13091
1982 1 363 40 1637 1858 3018 3800 2679 13395
1982 2 295 50 1397 1645 2531 3046 2257 11221
1982 3 339 41 1624 1871 2908 3356 2494 12633
1982 4 347 55 1543 1768 2926 3204 2423 12266
1982 5 320 54 1684 1754 2851 3251 2329 12243
1982 6 292 55 1548 1681 2649 3149 2050 11424
1982 7 293 73 1719 1740 2761 3131 2140 11857
1982 8 326 66 1596 1747 2753 3009 2132 11629
1982 9 295 56 1455 1727 2691 3000 2254 11478
1982 10 312 59 1513 1817 2790 3279 2396 12166
1982 11 319 52 1560 1703 2803 3219 2226 11882
1982 12 369 70 1542 1803 2815 3412 2489 12500
1983 1 306 43 1557 1727 2914 3608 2697 12852
1983 2 281 44 1378 1662 2766 3339 2693 12163
1983 3 286 33 1635 1801 2857 3635 2869 13116
1983 4 302 35 1536 1697 2765 3277 2559 12171
1983 5 293 52 1517 1803 2807 3374 2341 12187
1983 6 303 60 1544 1654 2826 3114 2253 11754
1983 7 305 63 1680 1802 2925 3312 2371 12458
1983 8 304 65 1656 1689 2667 3144 2215 11740
1983 9 289 46 1440 1721 2619 3024 2185 11324
1983 10 285 40 1600 1809 2822 3377 2397 12330
1983 11 302 52 1462 1713 2781 3383 2418 12111
1983 12 313 50 1611 1916 3142 3715 2798 13545
1984 1 294 50 1554 1825 2971 3570 2926 13190
1984 2 259 46 1377 1741 2645 3278 2479 11825
1984 3 297 48 1418 1813 2923 3593 2893 12985
1984 4 305 53 1409 1653 2842 3372 2489 12123
1984 5 298 52 1395 1694 2835 3254 2362 11890
1984 6 291 54 1550 1659 2768 3071 2167 11560
1984 7 261 66 1485 1703 2648 3021 2290 11474
1984 8 267 65 1644 1650 2599 3097 2260 11582
1984 9 261 59 1443 1596 2627 3049 2242 11277
1984 10 307 47 1471 1724 2860 3319 2470 12198
1984 11 299 40 1468 1753 2903 3406 2500 12369
1984 12 297 50 1490 1858 3081 3732 2921 13429
1985 1 301 55 1569 1909 3298 4120 3490 14742
1985 2 273 39 1389 1623 2819 3520 2803 12466
1985 3 264 47 1460 1695 2859 3484 2591 12400
1985 4 278 42 1487 1642 2758 3311 2394 11912
1985 5 277 53 1505 1704 2767 3239 2396 11941
1985 6 291 71 1423 1565 2712 3089 2173 11324
1985 7 256 60 1586 1700 2757 3110 2286 11755
1985 8 246 38 1533 1717 2607 3149 2279 11569
1985 9 255 40 1394 1589 2785 3265 2385 11713
1985 10 280 41 1485 1636 2878 3326 2665 12311
1985 11 296 38 1439 1649 2791 3421 2530 12164
1985 12 318 60 1516 1902 3013 3852 2959 13620
1986 1 323 62 1541 1858 3165 3904 3097 13950
1986 2 249 35 1343 1686 2855 3555 2882 12605
1986 3 300 48 1554 1793 2987 3614 3010 13306
1986 4 270 45 1507 1644 2812 3390 2537 12205
1986 5 295 52 1579 1678 2801 3298 2505 12208
1986 6 277 61 1614 1625 2759 3174 2289 11799
1986 7 274 65 1689 1709 2909 3271 2507 12424
1986 8 250 57 1595 1636 2794 3296 2391 12019
1986 9 259 39 1552 1566 2663 3152 2403 11634
1986 10 307 36 1577 1636 2822 3314 2577 12269
1986 11 287 35 1487 1587 2966 3491 2722 12575
1986 12 303 43 1543 1771 2970 3742 2930 13302
1987 1 274 44 1520 1682 3108 3696 3003 13327
1987 2 247 37 1318 1561 2796 3309 2608 11876
1987 3 270 57 1540 1634 2898 3719 2929 13047
1987 4 296 43 1395 1630 2833 3265 2555 12017
1987 5 279 51 1508 1656 2799 3417 2541 12251
1987 6 242 56 1506 1576 2618 3085 2426 11509
1987 7 272 64 1526 1660 2817 3308 2448 12095
1987 8 274 66 1601 1595 2715 3244 2411 11906
1987 9 266 53 1527 1628 2757 3391 2485 12107
1987 10 281 53 1577 1633 2868 3659 2858 12929
1987 11 280 32 1514 1528 2824 3482 2698 12358
1987 12 260 38 1592 1676 3034 3762 3075 13437
1988 1 288 51 1553 1730 3000 3991 3321 13934
1988 2 296 48 1523 1550 2875 3864 3251 13407
1988 3 294 31 1606 1621 3069 3817 3245 13683
1988 4 271 41 1534 1577 2819 3414 2769 12425
1988 5 271 66 1636 1676 2912 3576 2790 12927
1988 6 278 65 1494 1548 2759 3248 2475 11867
1988 7 256 63 1691 1489 2785 3323 2499 12106
1988 8 273 46 1729 1575 2811 3399 2518 12351
1988 9 298 53 1577 1544 2644 3328 2542 11986
1988 10 268 33 1619 1633 2888 3447 2808 12696
1988 11 290 53 1562 1551 2725 3585 2772 12538
1988 12 283 44 1712 1586 2798 3813 2898 13134
1989 1 294 56 1594 1657 2920 3747 3111 13379
1989 2 295 44 1432 1511 2653 3544 2949 12428
1989 3 302 61 1620 1589 2901 3715 3133 13321
1989 4 303 40 1508 1446 2701 3316 2661 11975
1989 5 297 56 1543 1564 2841 3530 2701 12532
1989 6 271 51 1590 1445 2626 3224 2469 11676
1989 7 257 68 1641 1441 2609 3284 2501 11801
1989 8 236 59 1549 1446 2681 3242 2479 11692
1989 9 304 52 1544 1403 2649 3263 2447 11662
1989 10 311 53 1662 1517 2819 3617 2814 12793
1989 11 292 29 1588 1472 2717 3491 2781 12370
1989 12 298 51 1768 1687 3208 4145 3437 14594
1990 1 295 42 1635 1669 3200 4436 3767 15044
1990 2 264 33 1407 1476 2599 3623 2983 12385
1990 3 285 42 1552 1467 2894 3655 2904 12799
1990 4 261 37 1635 1458 2668 3466 2731 12256
1990 5 290 54 1572 1433 2820 3349 2738 12256
1990 6 265 34 1658 1376 2684 3276 2581 11874
1990 7 282 38 1642 1451 2598 3248 2492 11751
1990 8 269 67 1702 1403 2693 3245 2466 11845
1990 9 261 33 1675 1388 2554 3245 2634 11790
1990 10 262 42 1662 1475 2921 3617 2889 12868
1990 11 271 31 1557 1467 2666 3520 2789 12301
1990 12 289 37 1667 1532 2962 3708 2982 13177
1991 1 286 46 1596 1608 2922 3713 3234 13405
1991 2 243 41 1495 1366 2687 3574 3061 12467
1991 3 303 45 1616 1523 3028 3688 3225 13428
1991 4 280 43 1608 1437 2764 3480 2915 12527
1991 5 283 49 1682 1413 2780 3506 2700 12413
1991 6 276 63 1742 1389 2588 3258 2636 11952
1991 7 255 52 1781 1410 2686 3216 2651 12051
1991 8 268 52 1775 1355 2522 3400 2646 12018
1991 9 248 35 1649 1316 2614 3235 2579 11676
1991 10 269 48 1678 1442 2761 3721 2975 12894
1991 11 271 48 1656 1459 2844 3563 2909 12750
1991 12 284 53 1700 1551 3243 4256 3621 14708
1992 1 252 41 1727 1551 3013 4199 3638 14421
1992 2 284 34 1584 1272 2727 3456 2882 12239
1992 3 277 45 1585 1413 2759 3606 2977 12662
1992 4 243 42 1601 1353 2733 3524 2823 12319
1992 5 250 47 1739 1385 2689 3467 2793 12370
1992 6 229 61 1574 1321 2621 3298 2603 11707
1992 7 243 41 1673 1356 2623 3300 2624 11860
1992 8 275 56 1741 1244 2708 3356 2622 12002
1992 9 236 48 1622 1296 2654 3344 2683 11883
1992 10 238 46 1763 1370 2798 3642 2842 12699
1992 11 241 38 1657 1306 2824 3507 2893 12466
1992 12 263 39 1645 1443 2870 3794 3246 13300
