year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 23 6 81 130 237 378 311 1166
1979 2 26 3 89 96 187 288 250 939
1979 3 20 6 74 110 219 289 282 1000
1979 4 24 5 82 119 189 277 265 961
1979 5 24 3 65 98 222 274 265 951
1979 6 13 4 81 85 167 240 205 795
1979 7 19 1 61 71 188 238 195 773
1979 8 13 1 68 84 159 249 198 772
1979 9 11 3 69 90 177 271 193 814
1979 10 12 4 71 108 180 293 268 936
1979 11 13 3 72 107 197 269 238 899
1979 12 17 7 90 121 182 354 292 1063
1980 1 30 9 98 104 228 375 394 1238
1980 2 19 3 89 118 245 467 475 1416
1980 3 19 5 81 113 252 386 444 1300
1980 4 17 2 71 106 172 287 240 895
1980 5 10 1 73 119 166 221 229 819
1980 6 14 6 59 115 149 239 210 792
1980 7 17 1 65 92 167 240 244 826
1980 8 16 2 72 85 169 255 193 792
1980 9 8 4 66 93 158 256 227 812
1980 10 18 4 77 93 175 272 255 894
1980 11 14 2 63 88 188 272 248 875
1980 12 16 3 78 88 248 414 391 1238
1981 1 18 4 112 168 358 634 724 2018
1981 2 22 4 76 132 224 386 404 1248
1981 3 16 10 84 126 164 332 342 1074
1981 4 18 2 88 88 176 272 220 864
1981 5 12 4 68 98 170 238 246 836
1981 6 20 6 62 82 134 230 226 760
1981 7 16 0 54 96 126 218 226 736
1981 8 8 0 72 62 174 208 212 736
1981 9 8 6 64 80 192 238 228 816
1981 10 14 2 58 114 206 304 302 1000
1981 11 16 4 66 108 204 300 266 964
1981 12 24 10 70 124 198 322 340 1088
1982 1 28 0 78 110 200 424 370 1210
1982 2 12 2 74 102 154 254 292 890
1982 3 26 4 66 106 188 294 334 1018
1982 4 22 2 62 90 214 296 332 1018
1982 5 8 2 74 78 174 286 272 894
1982 6 12 4 66 78 178 248 196 782
1982 7 12 4 60 96 156 278 246 852
1982 8 8 4 80 76 188 238 226 820
1982 9 8 0 60 68 180 250 240 806
1982 10 14 0 78 78 162 274 300 906
1982 11 8 6 60 90 178 292 264 898
1982 12 30 4 72 106 216 332 324 1084
1983 1 15 2 88 88 224 389 365 1171
1983 2 18 7 78 107 245 412 447 1314
1983 3 16 3 72 116 225 419 445 1296
1983 4 14 0 56 93 193 322 344 1022
1983 5 14 3 58 100 177 300 296 948
1983 6 14 6 64 78 177 255 252 846
1983 7 14 2 65 97 176 264 256 874
1983 8 16 1 62 95 182 267 261 884
1983 9 13 3 65 86 158 249 263 837
1983 10 13 1 58 116 189 333 305 1015
1983 11 15 1 54 91 192 316 290 959
1983 12 23 2 71 93 207 389 369 1154
1984 1 15 4 73 109 229 370 424 1224
1984 2 11 5 65 111 189 363 375 1119
1984 3 7 5 72 117 209 397 421 1228
1984 4 12 1 56 89 193 340 366 1057
1984 5 16 0 61 103 204 276 301 961
1984 6 7 4 58 94 181 250 250 844
1984 7 8 3 36 74 172 241 248 782
1984 8 14 4 52 91 187 254 221 823
1984 9 11 5 64 66 140 279 246 811
1984 10 12 2 62 109 190 285 312 972
1984 11 11 1 48 101 197 317 323 998
1984 12 13 3 77 137 222 390 431 1273
1985 1 12 4 90 125 308 534 651 1724
1985 2 10 4 76 112 248 460 527 1437
1985 3 16 4 64 100 195 370 377 1126
1985 4 6 1 65 90 190 361 304 1017
1985 5 14 2 78 96 177 307 295 969
1985 6 14 2 66 84 178 268 217 829
1985 7 9 2 55 70 178 274 290 878
1985 8 11 2 61 90 153 276 248 841
1985 9 16 2 68 86 182 289 277 920
1985 10 12 0 53 91 186 334 327 1003
1985 11 14 2 65 85 201 359 374 1100
1985 12 25 3 69 135 202 404 411 1249
1986 1 18 5 80 126 283 499 520 1531
1986 2 14 4 76 133 279 496 515 1517
1986 3 11 4 86 127 275 424 493 1420
1986 4 14 5 69 107 197 364 344 1100
1986 5 8 2 64 108 210 338 307 1037
1986 6 11 1 68 89 194 313 300 976
1986 7 6 1 64 90 192 267 290 910
1986 8 3 3 75 86 188 304 272 931
1986 9 11 0 67 83 182 316 283 942
1986 10 12 2 68 63 194 331 353 1023
1986 11 11 3 68 84 182 325 340 1013
1986 12 13 3 87 114 210 361 406 1194
1987 1 17 6 79 113 260 428 462 1365
1987 2 12 1 65 94 241 353 403 1169
1987 3 10 7 77 83 225 403 467 1272
1987 4 15 5 76 101 230 365 397 1189
1987 5 12 1 70 77 185 332 341 1018
1987 6 8 2 68 102 171 295 316 962
1987 7 10 1 54 80 192 288 295 920
1987 8 7 1 58 90 198 315 278 947
1987 9 9 2 75 97 170 345 303 1001
1987 10 13 4 75 83 225 408 373 1181
1987 11 13 3 83 84 208 353 324 1068
1987 12 6 4 79 92 221 387 442 1231
1988 1 20 5 77 89 253 461 553 1458
1988 2 11 3 74 96 222 513 595 1514
1988 3 13 2 102 100 236 486 555 1494
1988 4 15 1 79 104 248 364 397 1208
1988 5 9 2 83 110 222 377 416 1219
1988 6 12 3 77 96 202 322 301 1013
1988 7 14 2 63 84 182 258 261 864
1988 8 4 2 81 72 192 317 271 939
1988 9 7 4 76 94 184 343 318 1026
1988 10 6 3 86 95 232 370 393 1185
1988 11 8 2 103 114 217 365 384 1193
1988 12 13 1 97 110 218 388 442 1269
1989 1 13 2 101 132 279 429 531 1487
1989 2 14 11 99 116 256 474 545 1515
1989 3 8 5 88 112 266 509 521 1509
1989 4 12 3 82 100 207 393 403 1200
1989 5 10 5 98 110 231 353 413 1220
1989 6 11 6 81 91 196 320 331 1036
1989 7 10 3 86 84 168 299 290 940
1989 8 8 4 80 92 172 310 316 982
1989 9 9 6 69 77 216 340 333 1050
1989 10 9 4 98 98 207 410 390 1216
1989 11 9 0 82 78 184 358 371 1082
1989 12 23 5 100 105 257 507 552 1549
1990 1 17 3 121 143 350 720 793 2147
1990 2 16 5 75 103 237 459 542 1437
1990 3 14 1 77 103 228 426 485 1334
1990 4 4 2 84 93 219 373 406 1181
1990 5 19 2 94 93 240 321 419 1188
1990 6 9 2 76 84 203 384 352 1110
1990 7 9 1 77 77 175 309 302 950
1990 8 9 4 100 85 190 308 309 1005
1990 9 4 2 88 89 179 339 358 1059
