year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 72 19 904 1494 2467 3146 2292 10394
1979 2 78 16 787 1170 2041 2615 1911 8618
1979 3 59 22 789 1305 2153 2781 2050 9159
1979 4 64 21 790 1279 2184 2554 1944 8836
1979 5 64 11 823 1292 2234 2749 2077 9250
1979 6 56 16 781 1199 2115 2503 1756 8426
1979 7 66 14 736 1168 2020 2550 1791 8345
1979 8 56 10 735 1138 1992 2443 1768 8142
1979 9 59 12 732 1098 1926 2502 1790 8119
1979 10 53 27 784 1239 2112 2720 2063 8998
1979 11 52 14 740 1204 2094 2654 1968 8726
1979 12 70 18 841 1283 2264 3019 2272 9767
1980 1 79 26 827 1310 2318 2924 2383 9867
1980 2 65 28 754 1288 2255 3158 2578 10126
1980 3 73 23 780 1259 2264 3032 2411 9842
1980 4 71 17 725 1119 2075 2526 1941 8474
1980 5 58 12 749 1263 2159 2623 1868 8732
1980 6 57 16 706 1138 1918 2418 1757 8010
1980 7 72 23 756 1198 2084 2692 2027 8852
1980 8 60 19 741 1119 2001 2529 1844 8313
1980 9 50 15 744 1130 1928 2378 1849 8094
1980 10 61 24 763 1214 2114 2789 2059 9024
1980 11 61 12 750 1219 2127 2646 2070 8885
1980 12 63 16 792 1269 2398 3163 2533 10234
1981 1 70 22 866 1386 2638 3650 3114 11746
1981 2 58 24 676 1138 2018 2866 2212 8992
1981 3 92 28 778 1296 2176 2828 2136 9334
1981 4 60 14 740 1128 2004 2536 1878 8360
1981 5 42 16 696 1250 2176 2662 1938 8780
1981 6 66 22 678 1086 1970 2476 1800 8098
1981 7 70 18 718 1206 1948 2530 1742 8232
1981 8 62 18 732 1090 2040 2444 1844 8230
1981 9 42 18 736 1190 1986 2342 1958 8272
1981 10 60 12 728 1156 2164 2698 2242 9060
1981 11 60 14 626 1150 2134 2670 2130 8784
1981 12 84 14 764 1320 2198 3068 2424 9872
1982 1 54 14 816 1220 2276 3260 2542 10182
1982 2 58 16 636 1156 1884 2562 2024 8336
1982 3 80 10 746 1254 2270 2858 2194 9412
1982 4 54 14 668 1218 2232 2742 2162 9090
1982 5 40 10 754 1160 2120 2638 2168 8890
1982 6 34 20 664 1090 2050 2680 1850 8388
1982 7 46 16 724 1176 1980 2612 1940 8494
1982 8 38 18 676 1124 1980 2450 1918 8204
1982 9 54 18 616 1128 1986 2492 1984 8278
1982 10 56 12 688 1184 2174 2632 2232 8978
1982 11 40 24 634 1204 2120 2630 1996 8648
1982 12 66 18 718 1252 2224 2818 2224 9320
1983 1 63 13 749 1201 2232 3027 2454 9739
1983 2 53 22 650 1151 2153 2852 2450 9331
1983 3 53 14 750 1246 2185 3103 2597 9948
1983 4 52 9 710 1183 2135 2812 2306 9207
1983 5 57 19 659 1217 2164 2837 2091 9044
1983 6 49 22 686 1140 2155 2618 2026 8696
1983 7 49 13 733 1177 2196 2724 2084 8976
1983 8 74 16 699 1123 1980 2614 1970 8476
1983 9 54 13 657 1149 1919 2489 1967 8248
1983 10 47 15 703 1214 2114 2821 2136 9050
1983 11 55 20 678 1152 2091 2835 2152 8983
1983 12 69 20 772 1305 2441 3102 2525 10234
1984 1 63 23 703 1275 2274 3009 2626 9973
1984 2 57 14 656 1186 1997 2777 2233 8920
1984 3 53 17 674 1235 2166 3034 2580 9759
1984 4 56 13 619 1127 2178 2803 2260 9056
1984 5 60 13 667 1129 2158 2702 2126 8855
1984 6 43 14 679 1118 2091 2528 1931 8404
1984 7 35 17 641 1126 1966 2487 2033 8305
1984 8 47 16 690 1111 1939 2523 2007 8333
1984 9 47 16 603 1044 1985 2511 1971 8177
1984 10 48 18 655 1154 2121 2697 2155 8848
1984 11 49 11 680 1202 2180 2833 2238 9193
1984 12 54 18 695 1299 2376 3119 2614 10175
1985 1 58 24 797 1316 2542 3518 3181 11436
1985 2 50 15 651 1148 2221 3048 2543 9676
1985 3 52 13 691 1164 2168 2929 2316 9333
1985 4 50 10 696 1096 2104 2777 2142 8875
1985 5 54 16 700 1138 2076 2680 2122 8786
1985 6 56 26 612 1027 1995 2565 1934 8215
1985 7 50 19 630 1105 2068 2538 1997 8407
1985 8 41 12 686 1125 1974 2583 2013 8434
1985 9 41 9 626 1059 2053 2700 2109 8597
1985 10 45 17 678 1095 2141 2702 2397 9075
1985 11 52 9 675 1078 2097 2838 2262 9011
1985 12 71 15 730 1281 2273 3255 2644 10269
1986 1 76 23 741 1279 2413 3309 2779 10620
1986 2 40 10 657 1151 2204 2998 2611 9671
1986 3 61 10 765 1233 2251 3038 2714 10072
1986 4 49 17 727 1102 2115 2848 2280 9138
1986 5 49 15 683 1134 2111 2778 2199 8969
1986 6 45 19 694 1099 2018 2644 2037 8556
1986 7 43 13 690 1143 2177 2682 2203 8951
1986 8 34 14 657 1059 2010 2704 2114 8592
1986 9 53 11 708 1054 1956 2583 2101 8466
1986 10 51 12 734 1074 2122 2743 2280 9016
1986 11 55 17 670 1084 2218 2927 2385 9356
1986 12 54 21 705 1253 2248 3067 2587 9935
1987 1 68 20 763 1160 2383 3123 2681 10198
1987 2 63 14 583 1068 2123 2734 2317 8902
1987 3 48 22 724 1099 2194 3088 2619 9794
1987 4 57 21 619 1123 2182 2724 2283 9009
1987 5 47 19 667 1142 2072 2820 2264 9031
1987 6 48 15 670 1018 1967 2512 2146 8376
1987 7 46 17 665 1125 2074 2686 2150 8763
1987 8 49 18 629 1049 2007 2632 2112 8496
1987 9 40 23 664 1115 2040 2814 2208 8904
1987 10 58 19 701 1119 2139 3003 2503 9542
1987 11 51 7 682 1036 2128 2872 2361 9137
1987 12 49 16 754 1147 2284 3153 2740 10143
1988 1 69 20 747 1159 2297 3335 2956 10583
1988 2 63 16 701 1069 2164 3242 2924 10179
1988 3 54 7 752 1079 2364 3178 2912 10346
1988 4 50 9 704 1064 2141 2798 2443 9209
1988 5 40 23 726 1104 2197 2972 2461 9523
1988 6 54 12 645 1024 2025 2632 2179 8571
1988 7 52 9 704 1004 2029 2703 2205 8706
1988 8 43 14 734 1028 2085 2793 2205 8902
1988 9 47 15 637 1006 1957 2737 2215 8614
1988 10 44 11 687 1067 2130 2855 2469 9263
1988 11 44 14 690 1030 2014 2915 2451 9158
1988 12 46 13 776 1051 2092 3139 2554 9671
1989 1 43 18 669 1045 2147 3064 2695 9681
1989 2 51 20 614 990 1942 2899 2612 9128
1989 3 43 14 700 993 2088 3055 2756 9649
1989 4 44 8 614 910 1932 2654 2309 8471
1989 5 51 18 627 1014 2011 2826 2308 8855
1989 6 30 15 619 887 1852 2560 2120 8083
1989 7 38 16 661 868 1779 2558 2158 8078
1989 8 33 15 608 888 1862 2534 2109 8049
1989 9 47 17 573 848 1828 2506 2078 7897
1989 10 45 22 627 904 1970 2810 2430 8808
1989 11 42 8 618 932 1906 2708 2376 8590
1989 12 48 16 706 1065 2319 3383 2994 10531
1990 1 55 9 669 1077 2352 3621 3323 11106
1990 2 51 11 572 906 1874 2920 2600 8934
1990 3 42 6 619 917 2069 2895 2523 9071
1990 4 34 15 687 888 1896 2737 2328 8585
1990 5 44 16 650 890 1983 2635 2357 8575
1990 6 49 7 618 820 1846 2526 2184 8050
1990 7 37 9 583 854 1773 2459 2103 7818
1990 8 46 17 626 828 1819 2463 2076 7875
1990 9 30 6 609 799 1753 2488 2262 7947
1990 10 31 5 641 884 2004 2809 2493 8867
1990 11 41 10 598 896 1824 2769 2353 8491
1990 12 45 6 651 941 2095 2922 2518 9178
1991 1 50 20 663 1027 2052 2937 2725 9474
1991 2 39 15 630 854 1882 2821 2604 8845
1991 3 47 8 693 942 2118 2901 2805 9514
1991 4 60 5 651 865 1929 2705 2502 8717
1991 5 44 7 656 884 1943 2758 2300 8592
1991 6 30 14 656 812 1772 2499 2182 7965
1991 7 38 15 655 850 1782 2460 2248 8048
1991 8 36 13 624 812 1651 2579 2244 7959
1991 9 33 10 605 744 1775 2469 2153 7789
1991 10 31 15 643 854 1896 2820 2508 8767
1991 11 45 18 696 881 1976 2732 2430 8778
1991 12 40 21 689 994 2337 3398 3085 10564
1992 1 51 14 747 972 2133 3321 3141 10379
1992 2 62 11 648 760 1935 2683 2451 8550
1992 3 41 9 613 834 1919 2819 2539 8774
