year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 17 3 31 25 73 123 116 388
1979 2 14 2 16 20 50 77 78 257
1979 3 11 2 17 31 63 68 98 290
1979 4 14 0 22 26 50 87 90 289
1979 5 9 1 18 14 47 76 97 262
1979 6 3 1 18 15 44 64 71 216
1979 7 11 0 17 20 43 80 62 233
1979 8 3 0 17 21 40 68 68 217
1979 9 3 1 25 20 41 85 55 230
1979 10 5 1 16 20 55 86 99 282
1979 11 7 1 20 20 41 80 80 249
1979 12 10 4 25 29 49 111 112 340
1980 1 14 6 29 21 58 102 147 377
1980 2 8 1 27 26 68 173 210 513
1980 3 8 3 30 26 71 142 184 464
1980 4 11 1 18 35 41 87 90 283
1980 5 6 0 21 25 44 74 84 254
1980 6 12 0 16 26 34 69 86 243
1980 7 12 1 12 15 49 65 88 242
1980 8 8 1 21 23 39 76 64 232
1980 9 3 2 13 18 35 74 69 214
1980 10 9 3 21 25 39 86 93 276
1980 11 6 0 19 21 47 81 84 258
1980 12 10 2 35 17 75 124 143 406
1981 1 9 1 45 63 119 224 328 789
1981 2 7 1 21 42 65 133 162 431
1981 3 13 2 24 25 42 115 132 353
1981 4 8 0 26 17 41 84 99 275
1981 5 10 1 18 29 35 80 84 257
1981 6 3 3 14 27 34 63 85 229
1981 7 6 1 11 18 29 72 68 205
1981 8 10 0 18 10 47 70 76 231
1981 9 5 1 18 20 44 61 88 237
1981 10 11 0 18 26 43 96 110 304
1981 11 5 1 24 23 51 105 98 307
1981 12 11 0 21 40 59 123 116 370
1982 1 14 1 16 29 43 132 131 366
1982 2 3 0 21 29 42 97 118 310
1982 3 12 1 18 30 46 100 116 323
1982 4 10 0 19 16 48 87 124 304
1982 5 2 1 27 12 37 97 105 281
1982 6 7 1 21 21 40 69 92 251
1982 7 8 0 15 34 37 85 77 256
1982 8 5 0 19 22 41 66 74 227
1982 9 3 1 12 23 35 67 81 222
1982 10 7 0 23 16 47 70 115 278
1982 11 5 1 24 18 40 101 102 291
1982 12 12 0 16 19 45 100 119 311
1983 1 8 0 27 28 61 132 154 410
1983 2 6 2 18 26 62 138 181 433
1983 3 9 1 21 29 60 152 199 471
1983 4 7 0 11 20 48 98 125 309
1983 5 6 1 17 18 47 90 126 305
1983 6 7 1 21 15 44 71 100 259
1983 7 9 0 10 22 41 86 74 242
1983 8 6 0 13 22 43 76 102 262
1983 9 10 0 16 16 45 79 86 252
1983 10 9 1 15 27 39 95 134 320
1983 11 8 1 11 28 56 108 121 333
1983 12 12 1 23 24 57 131 167 415
1984 1 8 3 27 12 58 122 171 401
1984 2 8 1 19 30 42 133 162 395
1984 3 6 3 22 24 56 146 178 435
1984 4 4 0 17 16 48 125 144 354
1984 5 7 0 22 26 61 91 113 320
1984 6 1 1 18 25 43 76 94 258
1984 7 5 1 10 20 41 80 91 248
1984 8 7 3 19 17 46 86 91 269
1984 9 5 2 17 10 32 95 109 270
1984 10 7 2 22 28 49 101 133 342
1984 11 6 0 14 25 67 123 116 351
1984 12 8 0 29 34 55 139 176 441
1985 1 7 2 40 44 110 185 311 699
1985 2 4 2 19 24 70 191 254 564
1985 3 10 3 15 25 47 117 157 374
1985 4 4 0 22 19 54 108 127 334
1985 5 6 1 22 22 41 93 122 307
1985 6 4 0 25 18 50 98 88 283
1985 7 4 1 19 12 45 86 122 289
1985 8 5 0 22 19 37 94 96 273
1985 9 10 1 21 29 49 89 107 306
1985 10 1 0 12 25 48 112 146 344
1985 11 9 0 21 21 56 131 151 389
1985 12 14 2 21 35 51 149 187 459
1986 1 11 4 32 35 80 184 248 594
1986 2 3 2 25 31 95 203 253 612
1986 3 3 3 26 37 79 178 239 565
1986 4 10 2 17 34 55 125 162 405
1986 5 4 0 16 24 46 126 137 353
1986 6 9 1 24 25 62 110 134 365
1986 7 5 1 17 28 46 101 134 332
1986 8 2 1 23 16 49 102 114 307
1986 9 9 0 23 21 60 104 130 347
1986 10 6 1 19 20 52 128 163 389
1986 11 6 1 17 23 53 126 142 368
1986 12 6 1 29 41 67 136 191 471
1987 1 11 0 31 34 75 165 209 525
1987 2 5 1 23 23 72 131 158 413
1987 3 5 2 29 21 67 146 216 486
1987 4 7 4 20 27 72 127 167 424
1987 5 5 1 24 23 47 116 131 347
1987 6 5 0 18 30 61 94 132 340
