year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 34 9 635 1154 1980 2671 2015 8498
1979 2 31 7 522 883 1588 2188 1690 6909
1979 3 25 7 535 988 1663 2298 1765 7281
1979 4 29 2 531 1000 1723 2094 1725 7104
1979 5 23 4 584 1008 1753 2278 1826 7476
1979 6 10 3 508 907 1631 2053 1501 6613
1979 7 28 6 482 884 1587 2144 1541 6672
1979 8 17 1 478 846 1564 1997 1509 6412
1979 9 19 3 492 804 1497 2064 1570 6449
1979 10 17 6 514 913 1638 2235 1800 7123
1979 11 24 5 467 903 1627 2161 1722 6909
1979 12 26 7 564 961 1761 2512 2019 7850
1980 1 34 13 575 994 1826 2404 2112 7958
1980 2 21 4 508 966 1754 2635 2312 8200
1980 3 20 7 511 913 1768 2514 2118 7851
1980 4 35 4 487 847 1637 2077 1693 6780
1980 5 15 1 510 958 1685 2126 1600 6895
1980 6 21 6 460 847 1474 1992 1504 6304
1980 7 27 11 507 853 1598 2207 1744 6947
1980 8 17 9 481 820 1541 2077 1590 6535
1980 9 14 5 492 817 1474 1954 1603 6359
1980 10 23 15 501 896 1625 2284 1758 7102
1980 11 21 5 493 919 1650 2167 1811 7066
1980 12 25 4 551 974 1844 2645 2208 8251
1981 1 25 5 583 1058 2087 2981 2800 9539
1981 2 22 5 468 820 1620 2339 1906 7180
1981 3 36 10 519 924 1705 2285 1882 7361
1981 4 20 4 445 811 1531 2094 1613 6518
1981 5 21 4 488 895 1656 2140 1635 6839
1981 6 20 9 439 793 1551 1961 1577 6350
1981 7 25 9 480 876 1560 1986 1526 6462
1981 8 16 5 482 819 1496 1987 1559 6364
1981 9 16 2 468 836 1536 1940 1629 6427
1981 10 23 2 490 840 1627 2198 1938 7118
1981 11 17 3 469 886 1670 2147 1826 7018
1981 12 23 3 527 998 1731 2459 2053 7794
1982 1 28 6 517 980 1785 2666 2122 8104
1982 2 19 3 434 839 1464 2111 1767 6637
1982 3 25 2 499 943 1712 2347 1928 7456
1982 4 23 1 437 872 1717 2260 1902 7212
1982 5 13 2 492 871 1619 2248 1797 7042
1982 6 11 4 417 822 1516 2130 1598 6498
1982 7 12 4 460 875 1518 2105 1641 6615
1982 8 11 3 414 836 1543 1955 1622 6384
1982 9 13 11 384 831 1525 1964 1687 6415
1982 10 12 3 469 869 1609 2164 1851 6977
1982 11 15 5 425 840 1603 2164 1732 6784
1982 12 26 3 457 902 1634 2355 1858 7235
1983 1 21 5 508 901 1688 2460 2100 7683
1983 2 19 5 409 858 1658 2344 2100 7393
1983 3 20 5 480 918 1664 2513 2230 7830
1983 4 12 5 455 859 1638 2249 1972 7190
1983 5 17 8 428 880 1644 2267 1804 7048
1983 6 14 3 446 819 1614 2084 1715 6695
1983 7 23 3 461 883 1671 2236 1783 7060
1983 8 29 6 456 799 1467 2087 1637 6481
1983 9 22 1 395 800 1436 1988 1637 6279
1983 10 20 5 451 860 1590 2228 1819 6973
1983 11 22 10 425 796 1589 2280 1827 6949
1983 12 30 6 503 963 1863 2515 2100 7980
1984 1 23 10 466 943 1693 2395 2263 7793
1984 2 20 5 438 850 1499 2250 1920 6982
1984 3 15 6 407 864 1635 2434 2212 7573
1984 4 17 7 385 796 1608 2242 1928 6983
1984 5 19 4 438 808 1638 2156 1805 6868
1984 6 11 5 434 799 1569 2004 1635 6457
1984 7 13 4 402 810 1452 1993 1727 6401
1984 8 15 5 437 762 1387 1968 1680 6254
1984 9 14 6 377 749 1471 1991 1668 6276
1984 10 19 6 425 810 1568 2140 1811 6779
1984 11 18 2 455 872 1620 2252 1874 7093
1984 12 22 3 449 909 1741 2486 2207 7817
1985 1 18 11 525 985 1956 2796 2747 9038
1985 2 16 7 421 795 1687 2448 2186 7560
1985 3 21 6 418 837 1597 2285 1950 7114
1985 4 16 2 455 775 1584 2177 1779 6788
1985 5 22 7 434 822 1534 2129 1772 6720
1985 6 16 11 386 704 1461 2038 1639 6255
1985 7 18 6 383 772 1508 1963 1640 6290
1985 8 12 3 441 759 1437 2012 1696 6360
1985 9 17 2 392 737 1482 2140 1788 6558
1985 10 15 7 420 757 1544 2087 2003 6833
1985 11 20 3 429 759 1519 2229 1897 6856
1985 12 31 5 482 911 1728 2550 2231 7938
1986 1 30 10 468 906 1777 2615 2376 8182
1986 2 13 3 401 807 1613 2375 2214 7426
1986 3 16 4 492 860 1693 2417 2304 7786
1986 4 23 7 459 781 1544 2236 1923 6973
1986 5 16 4 426 803 1575 2187 1815 6826
1986 6 17 5 438 782 1475 2066 1720 6503
1986 7 15 5 419 791 1590 2083 1826 6729
1986 8 14 4 390 720 1488 2075 1722 6413
1986 9 22 4 431 735 1469 1987 1724 6372
1986 10 17 5 458 757 1522 2103 1916 6778
1986 11 24 6 417 769 1591 2286 1967 7060
1986 12 21 6 430 883 1664 2392 2179 7575
