year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 7 6 23 10 27 78 89 240
1979 2 5 6 6 12 34 41 52 156
1979 3 2 1 6 7 18 17 30 81
1979 4 4 0 1 5 12 23 23 68
1979 5 1 0 0 1 6 13 7 28
1979 6 0 1 2 1 4 12 15 35
1979 7 0 0 3 0 3 8 9 23
1979 8 0 0 2 2 5 6 15 30
1979 9 1 0 1 1 5 7 13 28
1979 10 0 0 6 2 4 15 19 46
1979 11 2 0 2 10 13 21 27 75
1979 12 3 0 6 3 17 32 65 126
1980 1 4 1 15 16 46 107 145 334
1980 2 9 6 41 43 130 342 497 1068
1980 3 3 4 26 43 142 370 503 1091
1980 4 0 3 8 19 21 51 88 190
1980 5 1 0 0 3 12 12 7 35
1980 6 1 0 0 4 4 5 8 22
1980 7 0 0 1 3 6 12 5 27
1980 8 0 0 0 1 0 3 8 12
1980 9 0 0 1 3 4 12 19 39
1980 10 2 0 3 5 6 26 32 74
1980 11 1 1 4 2 14 32 24 78
1980 12 7 0 41 70 142 296 361 917
1981 1 14 3 86 172 425 920 1248 2868
1981 2 6 7 44 53 115 300 442 967
1981 3 2 0 10 7 33 57 79 188
1981 4 2 0 5 4 13 23 24 71
1981 5 2 0 5 4 4 14 13 42
1981 6 1 0 1 0 2 4 7 15
1981 7 2 0 1 1 2 11 3 20
1981 8 2 0 0 0 4 6 6 18
1981 9 1 0 0 0 6 14 15 36
1981 10 2 0 7 6 9 22 30 76
1981 11 1 0 4 6 10 15 15 51
1981 12 0 0 6 7 12 33 31 89
1982 1 4 1 7 6 13 31 57 119
1982 2 1 0 12 8 17 36 64 138
1982 3 5 7 10 17 35 71 93 238
1982 4 4 0 6 11 28 39 100 188
1982 5 0 0 5 6 13 26 24 74
1982 6 0 0 1 0 6 6 14 27
1982 7 0 0 0 2 3 4 5 14
1982 8 1 0 1 2 4 5 11 24
1982 9 0 2 3 4 6 9 11 35
1982 10 0 0 1 6 7 17 20 51
1982 11 1 0 3 8 5 17 20 54
1982 12 2 1 7 3 21 29 64 127
1983 1 1 0 13 13 64 129 199 419
1983 2 3 3 25 32 96 191 310 660
1983 3 6 2 9 25 64 148 221 475
1983 4 4 1 6 13 26 42 83 175
1983 5 0 0 2 5 18 18 31 74
1983 6 0 0 2 4 6 7 11 30
1983 7 0 0 5 3 4 5 9 26
1983 8 1 0 1 2 2 5 13 24
1983 9 0 0 0 5 4 10 12 31
1983 10 1 0 1 10 11 16 19 58
1983 11 0 0 0 3 12 15 25 55
1983 12 1 1 3 15 12 28 42 102
1984 1 3 3 3 8 16 38 70 141
1984 2 5 5 23 30 75 148 193 479
1984 3 6 0 15 19 62 156 200 458
1984 4 1 2 12 19 35 58 98 225
1984 5 1 0 1 2 11 22 21 58
1984 6 0 1 1 2 4 5 14 27
1984 7 1 0 3 1 3 5 9 22
1984 8 1 0 3 1 2 5 4 16
1984 9 0 1 1 2 3 9 9 25
1984 10 0 1 3 2 10 8 15 39
1984 11 1 0 3 3 10 19 23 59
1984 12 1 0 7 8 8 35 54 113
1985 1 6 2 24 27 89 190 330 668
1985 2 6 4 41 68 172 404 685 1380
1985 3 3 0 9 31 59 139 192 433
1985 4 1 1 4 3 14 25 55 103
1985 5 0 0 2 0 6 14 15 37
1985 6 0 0 1 1 2 6 5 15
1985 7 1 0 2 0 3 2 3 11
1985 8 1 0 0 1 3 4 3 12
1985 9 0 0 2 2 1 4 9 18
1985 10 0 0 1 1 4 18 22 46
1985 11 1 1 4 4 4 19 25 58
1985 12 1 0 7 5 11 42 38 104
1986 1 4 4 17 20 40 106 174 365
1986 2 6 5 53 55 153 357 515 1144
1986 3 6 3 26 31 90 207 331 694
1986 4 1 1 2 6 12 37 46 105
1986 5 1 0 6 2 5 9 9 32
1986 6 1 0 0 1 2 4 8 16
1986 7 1 0 3 0 5 3 6 18
1986 8 0 0 2 2 6 2 9 21
1986 9 0 0 1 0 4 11 14 30
1986 10 1 0 4 3 7 19 21 55
1986 11 3 1 5 3 12 18 28 70
1986 12 1 2 8 12 40 46 73 182
1987 1 5 1 18 27 45 95 168 359
1987 2 4 0 17 14 23 45 66 169
1987 3 0 0 10 6 14 24 39 93
1987 4 1 0 3 3 3 9 19 38
1987 5 0 0 0 3 4 7 12 26
1987 6 0 0 0 1 4 4 5 14
1987 7 0 0 0 0 0 7 8 15
1987 8 2 0 0 3 3 4 2 14
1987 9 0 0 4 3 0 1 16 24
1987 10 2 0 4 2 4 14 24 50
1987 11 3 0 3 7 12 11 16 52
1987 12 1 0 10 8 8 31 39 97
1988 1 2 2 11 10 41 91 158 315
1988 2 7 3 43 31 105 292 501 982
1988 3 3 2 20 24 99 266 447 861
1988 4 2 0 7 6 25 60 101 201
1988 5 1 0 2 4 7 9 10 33
1988 6 0 0 1 1 2 6 9 19
1988 7 0 0 2 1 3 3 10 19
1988 8 0 0 1 1 2 1 7 12
1988 9 0 0 0 3 3 8 8 22
1988 10 0 0 3 4 9 11 14 41
1988 11 0 0 2 3 5 21 25 56
1988 12 1 0 7 9 16 28 50 111
1989 1 5 4 22 27 50 111 189 408
1989 2 6 9 51 50 96 232 372 816
1989 3 9 1 26 27 47 113 206 429
1989 4 1 0 8 3 7 17 40 76
1989 5 1 0 3 4 5 4 14 31
1989 6 0 0 3 2 1 2 4 12
1989 7 0 0 1 0 3 6 3 13
1989 8 2 0 2 3 2 7 2 18
1989 9 1 0 3 1 2 9 7 23
1989 10 3 1 2 4 8 12 17 47
1989 11 2 0 5 1 5 23 23 59
1989 12 2 1 18 29 51 98 129 328
1990 1 5 7 50 106 222 485 724 1599
1990 2 8 2 29 34 115 236 390 814
1990 3 2 0 4 16 29 56 82 189
1990 4 2 0 0 6 7 16 23 54
1990 5 0 1 4 2 2 6 7 22
1990 6 1 0 0 4 3 4 4 16
1990 7 0 0 1 1 2 6 4 14
1990 8 0 1 1 1 2 2 4 11
1990 9 1 0 4 1 2 5 5 18
1990 10 0 1 2 2 6 11 13 35
