year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 336 82 1288 1571 3034 4743 4455 15509
1979 2 275 78 1032 1328 2536 3942 3645 12836
1979 3 295 69 1109 1429 2711 4245 3658 13516
1979 4 211 48 1049 1356 2589 3859 3570 12682
1979 5 180 54 1072 1271 2593 3808 3411 12389
1979 6 155 37 977 1203 2253 3452 2969 11046
1979 7 152 42 920 1197 2278 3443 2896 10928
1979 8 154 34 894 1207 2327 3359 2798 10773
1979 9 163 46 950 1192 2204 3422 2844 10821
1979 10 198 47 983 1387 2447 3941 3414 12417
1979 11 205 48 881 1275 2530 3846 3498 12283
1979 12 259 55 1086 1451 2719 4425 4103 14098
1980 1 293 68 1227 1510 3125 5068 5024 16315
1980 2 309 87 1288 1653 3432 5775 6043 18587
1980 3 253 63 1208 1673 3456 5778 6005 18436
1980 4 171 35 954 1421 2699 4093 3817 13190
1980 5 165 47 930 1214 2399 3556 3223 11534
1980 6 167 45 881 1191 2225 3326 2951 10786
1980 7 181 30 844 1225 2308 3528 3149 11265
1980 8 157 35 934 1239 2293 3451 2844 10953
1980 9 140 20 849 1194 2264 3296 2911 10674
1980 10 161 43 930 1303 2536 3821 3497 12291
1980 11 185 41 1001 1337 2569 4080 3814 13027
1980 12 241 55 1264 1765 3700 5998 5993 19016
1981 1 247 76 1573 2332 4823 8313 8962 26326
1981 2 253 63 1105 1527 3049 5060 5304 16361
1981 3 230 59 1042 1401 2748 4487 4320 14287
1981 4 150 40 970 1191 2500 3955 3598 12404
1981 5 161 43 829 1283 2348 3733 3365 11762
1981 6 167 39 861 1123 2164 3324 2972 10650
1981 7 133 34 839 1244 2322 3345 3128 11045
1981 8 135 26 878 1204 2218 3253 2906 10620
1981 9 115 26 817 1109 2289 3338 3004 10698
1981 10 168 37 905 1326 2515 4082 3836 12869
1981 11 141 47 908 1224 2503 3898 3684 12405
1981 12 239 54 968 1395 2709 4309 4358 14032
1982 1 213 47 998 1459 2886 4913 4738 15254
1982 2 205 34 924 1241 2361 3998 4044 12807
1982 3 251 71 1017 1344 2912 4651 4592 14838
1982 4 200 46 956 1268 2777 4421 4451 14119
1982 5 167 49 890 1282 2508 3922 3702 12520
1982 6 150 36 848 1102 2356 3455 3098 11045
1982 7 107 28 850 1205 2286 3483 3448 11407
1982 8 103 29 841 1201 2272 3365 3081 10892
1982 9 118 22 863 1162 2221 3369 3243 10998
