year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 1049 309 11354 17912 31031 38378 27768 127801
1979 2 932 286 9849 15736 27481 33841 23974 112099
1979 3 972 258 10580 16690 29186 35713 25041 118440
1979 4 811 257 10137 15977 28100 34141 24314 113737
1979 5 744 258 10505 16297 28612 34526 24399 115341
1979 6 686 232 9772 15460 26695 32327 22625 107797
1979 7 705 269 10208 15539 27018 32276 22810 108825
1979 8 712 227 9951 15238 26638 31759 22360 106885
1979 9 778 250 9509 14651 25870 31701 22434 105193
1979 10 811 271 10151 16281 28449 35088 25117 116168
1979 11 811 249 9905 15911 28271 34460 25400 115007
1979 12 951 268 10674 17007 30521 38003 28179 125603
1980 1 1026 301 10898 17507 31413 39404 29936 130485
1980 2 990 317 10425 17058 30919 39645 31207 130561
1980 3 894 276 10588 17293 31665 40322 30948 131986
1980 4 791 232 9973 15889 28997 34769 25500 116151
1980 5 761 249 10061 16132 28995 34293 24094 114585
1980 6 737 258 9761 15365 27097 32273 22855 108346
1980 7 778 262 10253 16059 28357 33911 24349 113969
1980 8 778 268 10101 15488 26954 32623 23361 109573
1980 9 717 205 9576 14882 26378 31386 22798 105942
1980 10 787 245 10029 16085 29100 35511 25924 117681
1980 11 803 235 10035 16293 28926 35794 26716 118802
1980 12 966 244 11494 18432 34034 42982 33532 141684
1981 1 1025 320 11743 19641 36317 47222 38768 155036
1981 2 898 262 9600 15973 28766 36324 28073 119896
1981 3 964 238 10488 16720 30517 36914 27811 123652
1981 4 729 235 9929 15980 28696 34295 25381 115245
1981 5 766 242 9917 16390 29024 34791 25321 116451
1981 6 683 245 9683 15288 27159 32412 23629 109099
1981 7 740 256 9954 15518 27282 33032 24413 111195
1981 8 740 246 9794 15500 26650 32239 24166 109335
1981 9 710 204 9584 15033 26573 32284 23690 108078
1981 10 835 251 10004 16423 29256 35658 27202 119629
1981 11 820 256 9736 15754 28679 35141 26342 116728
1981 12 928 257 10420 17195 30980 38762 29477 128019
1982 1 893 236 10714 17846 32364 40613 30852 133518
1982 2 805 198 9303 15173 27532 34252 26511 113774
1982 3 951 266 10238 16765 31386 38915 29096 127617
1982 4 822 249 9916 16259 30699 37517 28619 124081
1982 5 758 240 10114 16292 29831 36307 26832 120374
1982 6 696 245 9429 15328 27776 34017 24487 111978
1982 7 655 273 9919 15949 28385 34104 26014 115299
1982 8 692 258 9692 15388 27175 33445 24780 111430
1982 9 763 219 9200 15024 27222 33178 24948 110554
1982 10 801 245 9686 16231 29355 36298 27120 119736
1982 11 795 256 9603 15711 28501 35496 27066 117428
1982 12 829 250 9922 16791 30789 38456 29353 126390
1983 1 946 283 10583 17677 32493 41450 32589 136021
1983 2 873 253 9519 16293 30367 38563 30903 126771
1983 3 883 251 10103 17193 32025 41285 32252 133992
1983 4 767 232 9855 16518 30606 38049 30040 126067
1983 5 748 244 9988 16477 30300 36985 27735 122477
1983 6 710 238 9426 15434 28441 34170 25450 113869
1983 7 695 223 9825 16014 28550 35415 26773 117495
1983 8 773 201 9628 15375 27532 34195 25831 113535
1983 9 762 201 9233 14848 27201 33703 25432 111380
1983 10 822 235 9724 15943 29359 36715 28094 120892
1983 11 812 219 9722 15863 29385 37186 28822 122009
1983 12 942 253 10411 17899 32622 41576 32472 136175
1984 1 974 281 10468 17517 32743 41750 33983 137716
1984 2 856 286 9789 16136 29906 38575 30802 126350
1984 3 849 234 10253 17310 32442 41489 33166 135743
1984 4 782 244 9696 16395 30531 38988 30428 127064
1984 5 729 217 9894 16245 30155 37875 28907 124022
1984 6 700 239 9584 15431 28713 35364 26661 116692
1984 7 713 256 9626 15308 28059 34713 26234 114909
1984 8 705 242 9589 15245 27529 34856 26037 114203
1984 9 728 236 9180 14798 27325 34658 26297 113222
1984 10 780 222 9690 16018 29265 36951 28525 121451
1984 11 845 206 9949 16107 30159 38187 29418 124871
1984 12 837 234 10492 17372 32302 42121 33218 136576
1985 1 906 276 11106 18869 35764 47767 38819 153507
1985 2 808 250 10095 16939 32746 43875 36694 141407
1985 3 914 205 10236 16857 32324 42105 33631 136272
1985 4 802 232 9668 15904 29902 38440 29515 124463
1985 5 736 223 9932 15906 29756 37367 28674 122594
1985 6 694 248 9593 14981 28046 35122 26566 115250
1985 7 736 239 9652 15304 28222 35617 27134 116904
1985 8 699 203 9779 15177 27665 35062 26798 115383
1985 9 768 223 9448 14965 27679 35327 27231 115641
1985 10 762 219 9774 15596 29836 38050 30712 124949
1985 11 798 191 9719 15703 29170 37810 30365 123756
1985 12 951 220 10750 17467 32942 43356 34773 140459
1986 1 963 241 10975 17629 33771 45295 37480 146354
1986 2 756 273 9822 16200 31465 41560 34667 134743
1986 3 849 258 10498 17017 33341 43642 36181 141786
1986 4 762 220 9957 15767 30312 39153 30894 127065
1986 5 711 200 10016 15726 29720 38222 29602 124197
1986 6 645 211 9681 14770 27958 35835 27675 116775
1986 7 714 228 9982 15269 28964 36644 28702 120503
1986 8 653 213 9889 14870 28003 36206 27519 117353
1986 9 707 211 9701 14510 28000 35805 27992 116926
1986 10 724 198 10189 15104 29776 38366 30344 124701
1986 11 765 192 10159 15496 30304 39512 31142 127570
1986 12 861 242 10852 16691 32814 43459 34807 139726
1987 1 940 242 11282 17447 34457 46015 37490 147873
1987 2 773 180 9769 14953 29962 39212 32456 127305
1987 3 808 243 10972 16275 32590 43190 34792 138870
1987 4 708 234 10171 15636 30748 40108 31854 129459
1987 5 701 250 10293 15404 30343 39258 30499 126748
1987 6 710 213 9897 14645 28550 36635 29015 119665
1987 7 672 246 10345 15054 28952 37452 29819 122540
1987 8 664 243 9952 14487 28504 36871 29605 120326
1987 9 693 213 9588 14106 27764 36771 29063 118198
1987 10 783 213 10496 15190 30733 40381 33332 131128
1987 11 774 188 9905 14891 29887 40057 32904 128606
1987 12 833 253 10913 16045 32208 43763 36047 140062
1988 1 887 238 11098 16832 33774 47418 40248 150495
1988 2 833 209 10652 15805 32556 45263 39367 144685
1988 3 834 241 10925 16352 34071 46454 39994 148871
1988 4 725 182 10062 15050 30307 40730 32732 129788
