year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 352 65 2008 2030 3008 3659 2285 13407
1979 2 310 47 1704 1901 2831 3256 2057 12106
1979 3 323 62 1922 1995 2949 3371 2144 12766
1979 4 299 47 1841 1954 2800 3282 2022 12245
1979 5 303 55 1850 1848 2841 3281 2057 12235
1979 6 311 70 1839 1832 2875 3153 2090 12170
1979 7 300 67 1886 1841 2937 3273 2105 12409
1979 8 301 51 1940 1899 2898 3137 1995 12221
1979 9 286 57 1858 1800 2828 3179 1937 11945
1979 10 311 53 1942 1955 2995 3516 2245 13017
1979 11 257 39 1867 1945 2947 3347 2229 12631
1979 12 317 40 1948 2065 3252 3806 2474 13902
1980 1 292 55 1990 2163 3254 3930 2777 14461
1980 2 313 55 1756 2048 3284 4181 2898 14535
1980 3 318 41 1892 2053 3160 3810 2621 13895
1980 4 287 43 1880 1874 2928 3325 2137 12474
1980 5 302 65 1935 1888 2932 3389 2048 12559
1980 6 279 43 1919 1795 2815 3199 2017 12067
1980 7 268 67 2025 1934 2972 3451 2194 12911
1980 8 245 52 1964 1906 2879 3285 2080 12411
1980 9 259 48 1819 1764 2729 3065 1940 11624
1980 10 307 42 1826 1992 3148 3529 2227 13071
1980 11 269 42 1914 2037 3119 3531 2479 13391
1980 12 341 51 2201 2278 3689 4432 3417 16409
1981 1 334 60 2124 2239 3580 4384 3325 16046
1981 2 249 50 1700 1765 2744 3240 2249 11997
1981 3 307 41 1857 1950 2860 3463 2267 12745
1981 4 268 37 1846 1837 2855 3256 2159 12258
1981 5 273 68 1902 1870 2994 3435 2277 12819
1981 6 274 56 1892 1842 2830 3077 2094 12065
1981 7 303 63 1934 1898 2922 3392 2298 12810
1981 8 248 54 1819 1860 2769 3154 2151 12055
1981 9 272 49 1854 1765 2751 3125 2097 11913
1981 10 304 49 1900 1985 3093 3600 2494 13425
1981 11 278 46 1856 1945 2972 3320 2366 12783
1981 12 271 54 1973 2074 3110 3561 2538 13581
1982 1 323 40 1900 2099 3207 3766 2658 13993
