year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 0 0 0 0 0 3 1 4
1979 2 1 0 0 0 1 1 1 4
1979 3 0 0 0 0 0 0 1 1
1979 4 0 0 0 0 0 0 1 1
1979 5 0 0 0 0 0 0 0 0
1979 6 0 0 0 0 0 0 0 0
1979 7 0 0 0 0 0 0 0 0
1979 8 0 0 0 0 0 0 0 0
1979 9 0 0 0 0 0 0 0 0
1979 10 0 0 0 0 0 0 0 0
1979 11 0 0 0 1 1 0 0 2
1979 12 0 0 2 0 0 0 2 4
1980 1 0 0 1 0 1 3 10 15
1980 2 0 1 1 4 4 23 34 67
1980 3 0 0 1 4 5 11 17 38
1980 4 0 0 1 1 0 2 3 7
1980 5 0 0 0 0 0 0 0 0
1980 6 0 0 0 1 2 0 0 3
1980 7 0 0 0 1 0 0 0 1
1980 8 0 0 0 0 0 0 0 0
1980 9 0 0 0 0 0 1 0 1
1980 10 0 0 0 0 0 0 0 0
1980 11 0 0 0 1 1 0 0 2
1980 12 0 0 8 10 12 26 24 80
1981 1 0 0 7 10 14 43 36 110
1981 2 0 0 1 0 5 9 8 23
1981 3 0 0 0 2 1 3 1 7
1981 4 0 0 0 1 0 0 0 1
1981 5 0 0 0 0 0 0 0 0
1981 6 0 0 1 0 0 0 0 1
1981 7 0 0 0 0 0 0 0 0
1981 8 0 0 0 0 0 0 0 0
1981 9 0 0 0 0 0 0 1 1
1981 10 0 0 1 0 1 0 0 2
1981 11 0 0 0 0 0 1 0 1
1981 12 0 0 0 0 0 1 1 2
1982 1 0 0 0 0 0 1 0 1
1982 2 0 0 0 0 0 2 1 3
1982 3 0 0 1 1 0 2 1 5
1982 4 0 0 0 0 1 0 3 4
1982 5 0 0 0 0 0 0 0 0
1982 6 0 0 0 0 0 0 0 0
1982 7 0 0 0 0 0 0 0 0
1982 8 0 0 0 0 0 0 0 0
1982 9 0 0 0 0 0 0 0 0
1982 10 0 0 0 0 0 0 1 1
1982 11 0 0 0 1 0 0 0 1
1982 12 0 0 0 0 0 2 0 2
1983 1 0 0 0 0 0 2 1 3
1983 2 0 0 1 0 0 2 3 6
1983 3 1 0 0 0 1 2 7 11
1983 4 0 0 0 0 0 2 2 4
1983 5 0 0 0 0 1 0 0 1
1983 6 0 0 0 0 0 0 0 0
1983 7 0 0 0 0 0 0 2 2
1983 8 0 0 0 0 0 0 0 0
1983 9 0 0 0 0 1 0 0 1
1983 10 0 0 0 0 0 1 0 1
1983 11 0 0 0 1 0 0 1 2
1983 12 0 0 0 0 1 1 1 3
1984 1 0 0 0 0 1 1 2 4
1984 2 0 0 0 0 2 3 6 11
1984 3 1 0 0 0 1 1 2 5
1984 4 0 0 0 2 2 2 5 11
1984 5 0 0 0 0 2 0 0 2
1984 6 0 0 1 0 0 0 0 1
1984 7 0 0 0 0 0 0 1 1
1984 8 0 0 0 0 0 0 0 0
1984 9 0 0 0 0 0 0 1 1
1984 10 0 0 0 0 0 0 0 0
1984 11 0 0 0 0 0 1 0 1
1984 12 1 0 0 0 0 0 1 2
1985 1 0 0 2 1 13 13 9 38
1985 2 0 0 0 2 6 7 20 35
1985 3 0 0 0 0 2 1 4 7
1985 4 0 0 0 0 0 1 2 3
1985 5 0 0 1 0 0 0 0 1
