year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 27 4 98 129 241 374 350 1223
1979 2 18 7 77 131 194 344 279 1050
1979 3 27 6 107 118 198 311 252 1019
1979 4 17 3 97 117 196 293 244 967
1979 5 17 6 110 107 187 309 258 994
1979 6 14 2 106 108 197 272 247 946
1979 7 9 6 104 108 190 321 246 984
1979 8 12 3 84 101 210 300 252 962
1979 9 13 5 94 92 185 245 213 847
1979 10 20 3 117 92 185 296 236 949
1979 11 19 5 100 117 188 300 292 1021
1979 12 16 7 95 138 213 323 328 1120
1980 1 21 7 155 136 234 408 411 1372
1980 2 31 12 126 156 328 580 565 1798
1980 3 21 4 118 139 251 451 445 1429
1980 4 14 1 119 123 192 316 265 1030
1980 5 17 3 103 105 173 299 258 958
1980 6 8 0 97 93 187 268 214 867
1980 7 13 0 84 108 183 294 222 904
1980 8 16 3 106 101 201 271 221 919
1980 9 8 1 106 92 183 268 205 863
1980 10 14 4 88 99 208 301 246 960
1980 11 18 2 124 110 218 323 324 1119
1980 12 23 6 148 163 316 566 567 1789
1981 1 25 5 157 164 346 617 644 1958
1981 2 17 4 98 103 188 326 358 1094
1981 3 8 3 122 99 176 325 294 1027
1981 4 5 4 90 99 176 285 259 918
1981 5 17 2 88 114 188 294 238 941
1981 6 11 2 111 88 180 249 246 887
1981 7 15 3 98 110 178 255 264 923
1981 8 15 2 88 103 172 248 218 846
1981 9 8 4 91 76 146 239 239 803
1981 10 18 2 130 99 191 334 337 1111
1981 11 13 3 109 122 183 293 275 998
1981 12 12 3 102 111 176 315 303 1022
1982 1 16 2 116 98 215 340 329 1116
1982 2 16 3 126 106 179 327 310 1067
1982 3 15 0 133 112 235 353 345 1193
1982 4 21 5 95 100 172 325 311 1029
1982 5 12 7 91 105 166 267 250 898
1982 6 12 4 106 79 148 263 212 824
1982 7 11 2 107 103 171 272 301 967
1982 8 7 4 93 107 158 286 225 880
1982 9 13 6 108 98 146 265 242 878
1982 10 7 7 96 105 202 268 276 961
1982 11 10 1 104 81 176 250 269 891
1982 12 14 1 96 82 184 320 309 1006
1983 1 17 3 149 103 213 331 414 1230
1983 2 10 2 106 117 189 349 428 1201
1983 3 15 5 123 98 202 381 368 1192
1983 4 8 4 114 92 196 333 359 1106
1983 5 13 2 112 100 175 283 287 972
1983 6 11 1 84 102 203 286 233 920
1983 7 13 4 100 97 163 288 272 937
1983 8 12 3 116 103 173 271 277 955
1983 9 11 0 99 86 209 265 257 927
1983 10 11 5 115 96 167 294 295 983
1983 11 14 3 136 101 183 332 319 1088
1983 12 17 4 145 117 208 329 353 1173
1984 1 20 5 153 134 229 393 414 1348
1984 2 5 2 134 120 196 350 416 1223
1984 3 16 4 156 114 262 365 373 1290
1984 4 12 2 129 102 187 349 380 1161
1984 5 9 4 125 85 173 336 335 1067
1984 6 8 1 104 85 175 315 312 1000
1984 7 13 4 138 79 171 304 266 975
1984 8 9 5 135 87 164 301 306 1007
1984 9 14 0 154 111 160 267 267 973
1984 10 10 5 128 104 184 308 338 1077
1984 11 18 3 142 109 194 301 294 1061
1984 12 13 3 172 96 220 385 392 1281
1985 1 19 5 202 180 321 520 600 1847
1985 2 17 3 166 121 248 476 558 1589
1985 3 12 5 163 129 227 392 386 1314
1985 4 15 1 142 107 177 337 336 1115
1985 5 11 3 132 93 162 278 317 996
1985 6 8 4 141 93 161 270 285 962
1985 7 10 3 143 96 158 295 319 1024
1985 8 12 3 145 76 198 292 252 978
1985 9 11 3 140 90 161 277 267 949
1985 10 13 2 158 97 180 359 322 1131
1985 11 10 5 169 101 196 315 352 1148
1985 12 8 5 159 116 196 353 471 1308
1986 1 15 3 194 107 223 408 527 1477
1986 2 10 2 197 126 249 449 478 1511
1986 3 18 5 182 113 241 471 541 1571
1986 4 11 3 145 112 202 351 427 1251
1986 5 15 2 158 96 183 335 362 1151
1986 6 6 4 167 109 160 279 300 1025
1986 7 17 1 168 95 166 241 276 964
1986 8 13 2 150 86 163 283 296 993
1986 9 11 3 150 104 169 302 268 1007
1986 10 11 3 174 116 152 307 311 1074
1986 11 15 1 178 98 177 328 338 1135
1986 12 16 6 201 117 202 377 445 1364
1987 1 15 2 220 119 235 413 477 1481
1987 2 7 4 173 88 179 358 436 1245
1987 3 16 3 200 98 215 342 414 1288
1987 4 6 3 153 82 153 314 367 1078
1987 5 13 2 175 113 183 361 359 1206
1987 6 9 3 156 105 184 302 358 1117
1987 7 9 2 177 117 174 314 321 1114
1987 8 11 2 163 83 160 320 346 1085
