year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 68 29 1020 1460 2393 3162 2120 10252
1979 2 70 18 842 1376 2235 2795 1908 9244
1979 3 68 24 981 1416 2284 2901 1970 9644
1979 4 64 21 894 1381 2204 2802 1862 9228
1979 5 55 22 905 1309 2231 2830 1911 9263
1979 6 54 18 870 1279 2187 2679 1924 9011
1979 7 47 29 893 1265 2255 2788 1962 9239
1979 8 59 14 903 1340 2197 2686 1824 9023
1979 9 58 23 868 1249 2206 2671 1767 8842
1979 10 61 21 940 1390 2323 3055 2059 9849
1979 11 55 17 902 1414 2322 2887 2073 9670
1979 12 59 20 894 1488 2572 3309 2304 10646
1980 1 64 21 1012 1536 2595 3461 2600 11289
1980 2 80 27 898 1515 2645 3702 2700 11567
1980 3 54 17 970 1497 2515 3340 2434 10827
1980 4 51 12 952 1310 2309 2856 1952 9442
1980 5 57 21 977 1384 2310 2929 1901 9579
1980 6 47 13 904 1254 2220 2720 1861 9019
1980 7 50 23 931 1357 2335 2977 2020 9693
1980 8 52 11 965 1325 2229 2820 1906 9308
1980 9 41 9 899 1262 2122 2604 1787 8724
1980 10 49 15 922 1405 2460 3071 2057 9979
1980 11 60 19 994 1515 2455 3049 2308 10400
1980 12 65 20 1193 1721 2997 3938 3199 13133
1981 1 98 22 1149 1664 2909 3891 3143 12876
1981 2 64 20 886 1292 2179 2809 2104 9354
1981 3 60 9 967 1429 2291 2993 2092 9841
1981 4 47 16 881 1318 2271 2797 2004 9334
1981 5 54 22 927 1367 2374 2963 2114 9821
1981 6 44 18 927 1336 2184 2640 1930 9079
1981 7 66 23 906 1335 2262 2919 2119 9630
1981 8 52 17 876 1355 2194 2697 1965 9156
1981 9 61 15 970 1267 2139 2730 1938 9120
1981 10 58 16 995 1472 2523 3123 2310 10497
1981 11 60 16 951 1453 2335 2870 2177 9862
1981 12 53 25 1008 1562 2489 3117 2331 10585
1982 1 64 12 1060 1557 2601 3290 2459 11043
1982 2 59 13 851 1292 2144 2872 2199 9430
1982 3 64 20 987 1459 2560 3241 2331 10662
1982 4 76 17 921 1444 2470 3127 2321 10376
1982 5 57 20 936 1408 2405 3083 2086 9995
1982 6 59 16 894 1402 2192 2868 1888 9319
1982 7 53 19 957 1403 2420 2920 2258 10030
1982 8 59 17 882 1316 2175 2830 1963 9242
1982 9 48 20 879 1321 2199 2719 2061 9247
1982 10 55 28 903 1459 2339 3153 2227 10164
1982 11 51 14 912 1425 2330 3002 2210 9944
1982 12 64 17 987 1518 2524 3239 2365 10714
1983 1 54 16 1067 1589 2618 3400 2641 11385
1983 2 54 17 899 1447 2435 3128 2572 10552
1983 3 51 23 996 1457 2476 3351 2478 10832
1983 4 49 22 935 1410 2450 3088 2387 10341
1983 5 49 16 1026 1537 2431 2970 2226 10255
1983 6 41 21 884 1315 2319 2813 2094 9487
1983 7 53 18 979 1339 2280 2952 2201 9822
1983 8 57 14 939 1366 2262 2813 2171 9622
1983 9 61 13 913 1279 2311 2816 2101 9494
1983 10 49 21 987 1390 2389 3063 2349 10248
1983 11 60 17 993 1434 2390 3149 2491 10534
1983 12 57 16 1091 1574 2659 3273 2587 11257
1984 1 56 23 1106 1642 2660 3419 2828 11734
1984 2 45 14 995 1390 2403 3069 2490 10406
1984 3 57 18 1064 1526 2572 3234 2707 11178
1984 4 53 22 996 1404 2345 3147 2461 10428
1984 5 57 20 994 1311 2414 3065 2334 10195
1984 6 57 16 1034 1385 2478 3057 2390 10417
1984 7 61 15 968 1353 2152 2874 2075 9498
1984 8 50 15 1008 1369 2200 2933 2159 9734
1984 9 54 16 1009 1329 2228 2925 2180 9741
1984 10 47 18 1070 1442 2292 2987 2387 10243
1984 11 62 23 1058 1437 2505 3144 2290 10519
1984 12 56 12 1190 1514 2586 3481 2697 11536
1985 1 85 30 1226 1773 2983 4049 3247 13393
1985 2 62 16 1049 1400 2460 3195 2808 10990
1985 3 64 14 1145 1482 2481 3239 2505 10930
1985 4 59 16 1044 1382 2343 3014 2304 10162
1985 5 45 13 980 1401 2468 2949 2232 10088
1985 6 47 18 1050 1346 2270 2807 2081 9619
1985 7 55 19 1090 1367 2227 2855 2289 9902
1985 8 48 16 1008 1315 2272 2842 2142 9643
1985 9 62 18 1097 1369 2281 2803 2223 9853
1985 10 55 11 1124 1420 2413 3153 2485 10661
1985 11 47 20 1057 1383 2356 3054 2485 10402
1985 12 68 12 1225 1605 2535 3402 2837 11684
1986 1 60 16 1251 1493 2623 3474 3036 11953
1986 2 53 17 1138 1438 2510 3286 2721 11163
1986 3 50 23 1156 1430 2626 3345 2920 11550
1986 4 55 24 1066 1355 2435 3035 2518 10488
1986 5 55 20 1105 1433 2366 3025 2406 10410
1986 6 45 13 1105 1308 2277 2820 2221 9789
1986 7 62 12 1061 1301 2206 2802 2332 9776
1986 8 50 17 1142 1273 2169 2779 2104 9534
1986 9 53 24 1102 1286 2338 2817 2172 9792
1986 10 59 15 1138 1362 2300 3012 2294 10180
1986 11 57 19 1188 1442 2428 3139 2554 10827
1986 12 56 23 1268 1504 2630 3423 2815 11719
1987 1 67 14 1282 1568 2684 3486 3034 12135
1987 2 49 16 1098 1257 2268 3081 2638 10407
1987 3 54 11 1293 1395 2514 3127 2529 10923
1987 4 48 24 1161 1361 2345 2941 2478 10358
1987 5 56 20 1166 1420 2515 3058 2529 10764
1987 6 58 14 1145 1334 2250 2892 2325 10018
1987 7 48 17 1188 1326 2278 2947 2348 10152
1987 8 61 19 1120 1223 2210 2841 2346 9820
1987 9 62 11 1112 1231 2185 2859 2315 9775
1987 10 58 16 1269 1423 2487 3085 2694 11032
1987 11 41 11 1130 1331 2325 3147 2582 10567
1987 12 63 21 1254 1325 2558 3217 2647 11085
1988 1 54 18 1304 1464 2595 3420 3016 11871
1988 2 74 14 1234 1307 2350 3164 2783 10926
1988 3 73 15 1259 1461 2689 3446 3176 12119
1988 4 59 15 1137 1294 2336 3104 2594 10539
1988 5 56 12 1163 1272 2294 3049 2517 10363
1988 6 56 18 1076 1227 2240 2903 2298 9818
1988 7 59 27 1204 1266 2225 2874 2442 10097
1988 8 46 11 1236 1253 2333 3092 2503 10474
1988 9 80 8 1166 1225 2190 2879 2331 9879
1988 10 59 16 1227 1275 2403 3176 2733 10889
1988 11 66 25 1169 1225 2342 3047 2514 10388
1988 12 88 13 1288 1404 2467 3336 2935 11531
1989 1 77 22 1298 1356 2507 3416 2953 11629
1989 2 64 7 1202 1223 2240 3028 2647 10411
1989 3 56 9 1425 1305 2377 3275 2911 11358
1989 4 56 7 1279 1224 2145 2944 2473 10128
1989 5 56 18 1290 1217 2188 2976 2339 10084
1989 6 47 19 1210 1099 2046 2735 2227 9383
1989 7 45 15 1304 1166 2193 2727 2361 9811
1989 8 53 9 1348 1173 2089 2804 2279 9755
1989 9 72 9 1217 1123 1965 2699 2289 9374
1989 10 60 14 1335 1164 2261 3025 2620 10479
1989 11 70 12 1311 1209 2289 2999 2519 10409
1989 12 74 19 1471 1295 2509 3571 3042 11981
1990 1 63 22 1455 1427 2598 3667 3561 12793
1990 2 54 21 1260 1169 2113 3041 2687 10345
1990 3 72 20 1342 1149 2225 3140 2732 10680
1990 4 66 14 1215 1142 2224 2866 2465 9992
1990 5 53 12 1236 1127 2090 2782 2351 9651
1990 6 50 16 1185 1063 2063 2694 2310 9381
1990 7 54 9 1290 1095 1967 2807 2240 9462
1990 8 73 11 1301 1094 2019 2624 2258 9380
1990 9 59 19 1190 1045 1986 2718 2235 9252
1990 10 49 17 1320 1053 2005 2909 2373 9726
1990 11 48 20 1258 1228 2179 2950 2596 10279
1990 12 63 18 1383 1211 2369 3180 2786 11010
1991 1 76 25 1531 1261 2481 3436 3248 12058
1991 2 62 13 1226 1091 1936 2790 2546 9664
1991 3 61 16 1310 1161 2205 2894 2575 10222
1991 4 48 11 1221 1095 2120 2752 2490 9737
1991 5 48 12 1257 1101 2097 2805 2416 9736
1991 6 38 10 1271 1019 1976 2635 2255 9204
1991 7 53 17 1342 1076 2016 2773 2401 9678
1991 8 78 17 1244 999 1944 2626 2254 9162
1991 9 58 13 1238 964 1953 2563 2244 9033
1991 10 40 14 1369 1092 2032 2850 2523 9920
1991 11 49 11 1242 1049 2065 2875 2570 9861
1991 12 78 18 1330 1180 2233 3199 3011 11049
1992 1 68 25 1510 1205 2555 3531 3342 12236
1992 2 49 18 1270 1082 2024 2799 2670 9912
1992 3 63 19 1334 1101 2114 2833 2668 10132
1992 4 48 18 1222 989 2077 2642 2434 9430
1992 5 58 13 1316 1112 2075 2754 2443 9771
1992 6 42 16 1263 987 1965 2653 2338 9264
1992 7 61 18 1282 982 1971 2533 2352 9199
1992 8 54 15 1289 1020 1823 2607 2333 9141
1992 9 45 7 1201 949 1874 2632 2243 8951
1992 10 61 15 1285 1121 2076 2917 2499 9974
1992 11 46 16 1294 1040 1971 2806 2609 9782
1992 12 50 18 1409 1099 2228 3191 2957 10952
1993 1 59 19 1410 1109 2249 3242 2975 11063
1993 2 51 19 1312 1118 2350 3447 3226 11523
1993 3 60 15 1364 1182 2407 3550 3516 12094
1993 4 63 14 1259 1025 1993 2905 2662 9921
1993 5 38 12 1282 931 2105 2828 2442 9638
1993 6 46 15 1241 943 1886 2639 2456 9226
1993 7 46 11 1359 1031 2020 2809 2625 9901
1993 8 36 18 1205 927 1935 2555 2271 8947
1993 9 45 24 1179 889 1878 2527 2327 8869
1993 10 52 16 1319 1027 2045 2937 2718 10114
1993 11 55 14 1241 1049 1994 2793 2567 9713
1993 12 57 18 1358 1079 2132 3112 2943 10699
1994 1 52 17 1452 1161 2284 3328 3282 11576
1994 2 40 12 1154 962 2020 2778 2708 9674
1994 3 38 26 1343 1019 2060 2846 2743 10075
1994 4 53 12 1327 967 1990 2728 2539 9616
1994 5 53 16 1299 997 2095 2681 2578 9719
1994 6 46 10 1285 993 1873 2556 2364 9127
1994 7 40 22 1343 889 1869 2595 2558 9316
1994 8 40 15 1288 932 1893 2614 2463 9245
1994 9 52 18 1287 914 1848 2540 2399 9058
1994 10 55 20 1364 976 1970 2817 2667 9869
1994 11 34 13 1298 936 1901 2689 2634 9505
1994 12 45 24 1410 1061 2255 3170 3275 11240
1995 1 54 16 1525 1081 2430 3507 3551 12164
1995 2 45 13 1269 971 1953 2970 2935 10156
1995 3 48 18 1273 990 2035 2987 2942 10293
1995 4 44 22 1249 934 1884 2792 2714 9639
1995 5 41 15 1234 968 1970 2849 2601 9678
1995 6 58 19 1223 890 1713 2563 2442 8908
1995 7 44 18 1294 939 1824 2625 2669 9413
1995 8 34 19 1174 865 1718 2552 2509 8871
1995 9 45 17 1157 819 1770 2456 2458 8722
1995 10 45 17 1228 915 1891 2796 2730 9622
1995 11 29 14 1277 957 1916 2820 2864 9877
1995 12 48 13 1391 1049 2099 3239 3217 11056
1996 1 60 19 1328 1103 2228 3268 3333 11339
1996 2 46 21 1169 908 1869 2805 2777 9595
1996 3 47 18 1141 950 1997 2900 2804 9857
1996 4 50 18 1087 958 1822 2748 2777 9460
1996 5 37 17 1065 895 1864 2794 2630 9302
1996 6 40 15 1036 854 1828 2512 2389 8674
1996 7 44 13 1104 833 1685 2604 2514 8797
1996 8 30 17 1001 845 1627 2644 2549 8713
1996 9 35 17 960 881 1670 2462 2548 8573
1996 10 47 15 1023 868 1863 2763 2875 9454
1996 11 35 19 1016 887 1863 2793 2849 9462
1996 12 44 17 1217 1062 2254 3587 3780 11961
1997 1 41 17 1118 967 2078 3417 3444 11082
1997 2 46 16 926 843 1790 2714 2882 9217
1997 3 58 16 1023 891 1940 2928 3183 10039
1997 4 35 18 963 906 1807 2810 2843 9382
1997 5 46 16 959 876 1794 2750 2736 9177
1997 6 34 8 868 819 1771 2655 2461 8616
1997 7 31 14 920 844 1736 2533 2519 8597
1997 8 27 7 942 808 1614 2505 2501 8404
1997 9 32 16 900 815 1696 2544 2517 8520
1997 10 32 15 935 879 1695 2810 2787 9153
1997 11 33 8 889 824 1712 2745 2956 9167
1997 12 45 16 988 944 2001 3026 3273 10293
1998 1 46 15 1048 973 2173 3464 3796 11515
1998 2 41 13 868 882 1746 2864 3171 9585
1998 3 32 17 953 886 1811 2867 2951 9517
1998 4 37 13 845 872 1671 2603 2617 8658
1998 5 39 14 873 798 1736 2625 2614 8699
1998 6 34 15 872 800 1630 2499 2642 8492
1998 7 33 12 859 905 1705 2582 2588 8684
1998 8 21 15 882 846 1636 2642 2560 8602
1998 9 23 5 854 844 1630 2474 2567 8397
1998 10 31 13 885 841 1771 2742 2956 9239
1998 11 29 12 782 867 1685 2780 2932 9087
1998 12 45 15 941 919 1807 3051 3194 9972
1999 1 51 17 1132 1105 2180 3931 4380 12796
1999 2 42 23 885 982 1826 3164 3436 10358
1999 3 38 16 933 974 1909 3011 3222 10103
1999 4 42 11 926 842 1716 2666 2883 9086
1999 5 41 12 947 892 1675 2719 2734 9020
1999 6 32 8 881 832 1597 2482 2541 8373
1999 7 30 19 867 903 1762 2726 2808 9115
1999 8 23 13 876 783 1587 2541 2629 8452
1999 9 28 12 856 806 1502 2571 2690 8465
1999 10 26 10 931 875 1674 2807 2921 9244
1999 11 24 10 865 843 1671 2757 2948 9118
1999 12 40 20 998 1065 1952 3210 3527 10812
2000 1 46 21 1151 1184 2259 3793 4287 12741
2000 2 33 15 950 851 1707 2927 3242 9725
2000 3 27 17 886 905 1677 2769 2966 9247
2000 4 37 13 885 822 1616 2658 2859 8890
2000 5 30 12 874 900 1677 2782 2871 9146
2000 6 22 9 872 851 1589 2600 2722 8665
2000 7 30 8 808 800 1619 2624 2747 8636
2000 8 27 7 870 797 1625 2604 2723 8653
2000 9 29 11 826 810 1475 2513 2744 8408
2000 10 31 10 847 895 1664 2844 3126 9417
2000 11 30 11 857 889 1647 2990 3095 9519
2000 12 40 13 975 985 1828 3156 3531 10528
2001 1 37 15 1071 1027 1889 3245 3695 10979
2001 2 34 14 925 845 1614 2713 3237 9382
2001 3 28 5 1004 891 1604 2957 3290 9779
2001 4 31 6 925 871 1572 2821 3052 9278
2001 5 32 12 924 875 1606 2795 2941 9185
2001 6 37 13 868 821 1635 2762 2904 9040
2001 7 30 9 888 875 1528 2589 2913 8832
2001 8 26 12 845 878 1518 2661 2807 8747
2001 9 35 7 913 842 1409 2493 2813 8512
2001 10 39 13 912 908 1624 2867 3221 9584
2001 11 23 13 845 877 1553 2650 3003 8964
2001 12 42 14 960 965 1662 2889 3237 9769
