year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 16 2 29 35 72 138 151 443
1979 2 10 3 21 30 59 124 112 359
1979 3 15 3 35 32 68 105 90 348
1979 4 8 0 28 37 57 105 115 350
1979 5 5 2 39 41 40 105 105 337
1979 6 5 0 32 26 60 105 97 325
1979 7 5 1 30 30 54 111 92 323
1979 8 4 2 24 35 52 116 98 331
1979 9 10 2 32 22 53 88 98 305
1979 10 9 1 44 22 45 122 105 348
1979 11 13 3 24 31 59 120 116 366
1979 12 11 2 33 48 74 124 132 424
1980 1 11 2 57 51 88 152 210 571
1980 2 19 6 44 47 140 278 262 796
1980 3 8 1 52 39 75 175 191 541
1980 4 8 0 43 29 60 118 114 372
1980 5 10 1 30 36 56 99 102 334
1980 6 2 0 31 32 47 93 95 300
1980 7 4 0 16 37 52 100 108 317
1980 8 5 1 32 28 64 99 94 323
1980 9 4 0 24 27 52 90 86 283
1980 10 6 0 19 29 71 103 110 338
1980 11 11 2 33 30 76 133 144 429
1980 12 10 1 68 65 131 235 260 770
1981 1 8 2 61 64 135 265 321 856
1981 2 6 1 32 25 70 134 156 424
1981 3 6 0 39 27 53 119 116 360
1981 4 2 1 25 26 51 100 111 316
1981 5 8 0 25 23 50 102 98 306
1981 6 5 0 39 25 51 89 95 304
1981 7 10 1 23 24 57 74 118 307
1981 8 4 1 29 31 48 89 91 293
1981 9 1 0 34 18 50 84 98 285
1981 10 11 0 43 35 71 106 155 421
1981 11 3 2 31 26 61 95 117 335
1981 12 6 0 40 32 63 110 145 396
1982 1 7 1 41 24 65 131 146 415
1982 2 7 0 32 30 63 128 125 385
1982 3 8 0 48 32 73 127 148 436
1982 4 5 2 31 31 56 130 140 395
1982 5 3 3 24 29 44 90 103 296
1982 6 4 2 32 21 49 100 81 289
1982 7 7 1 34 27 54 102 113 338
1982 8 2 1 33 29 43 107 89 304
1982 9 5 0 33 31 46 102 96 313
1982 10 3 3 23 31 65 107 118 350
1982 11 5 0 29 23 57 81 114 309
1982 12 8 0 28 24 63 112 136 371
1983 1 10 0 41 29 71 135 180 466
1983 2 5 0 42 32 51 127 195 452
1983 3 7 0 47 26 64 154 169 467
1983 4 1 3 38 22 65 149 156 434
1983 5 5 0 31 21 50 88 117 312
1983 6 5 0 29 33 58 114 104 343
1983 7 4 1 27 25 45 106 116 324
1983 8 5 0 30 26 66 93 113 333
1983 9 5 0 33 22 51 88 99 298
1983 10 5 2 30 26 48 111 128 350
1983 11 5 0 46 25 56 139 148 419
1983 12 7 2 41 36 74 119 158 437
1984 1 8 1 66 47 69 170 184 545
1984 2 2 0 48 34 67 154 192 497
1984 3 7 1 61 35 89 144 170 507
1984 4 7 0 48 33 60 147 182 477
1984 5 2 1 49 30 41 116 152 391
1984 6 3 0 35 27 52 111 133 361
1984 7 6 2 43 18 66 118 117 370
1984 8 5 3 45 25 52 97 137 364
1984 9 6 0 48 32 54 97 133 370
1984 10 4 1 33 29 51 126 161 405
1984 11 13 2 47 38 57 116 135 408
1984 12 9 2 57 30 79 161 203 541
1985 1 9 3 75 61 132 222 313 815
1985 2 9 1 58 43 82 183 281 657
1985 3 7 1 58 38 74 166 165 509
1985 4 9 0 50 33 64 142 155 453
1985 5 4 0 42 25 41 107 136 355
1985 6 5 2 31 32 49 111 129 359
1985 7 4 1 42 28 51 120 161 407
1985 8 3 1 40 18 67 102 120 351
1985 9 3 2 43 27 40 105 123 343
1985 10 7 1 58 27 64 141 150 448
1985 11 5 1 55 32 64 126 165 448
1985 12 4 3 60 40 81 139 240 567
1986 1 6 2 70 35 82 180 237 612
1986 2 7 1 69 40 81 196 220 614
1986 3 11 2 56 42 92 195 264 662
1986 4 5 1 55 43 63 150 186 503
1986 5 7 0 52 34 56 131 169 449
1986 6 3 0 45 27 50 105 153 383
1986 7 8 0 70 24 61 111 139 413
1986 8 7 0 61 31 59 108 138 404
1986 9 2 1 45 32 56 115 119 370
1986 10 4 1 55 37 58 135 156 446
1986 11 5 0 50 37 54 127 149 422
1986 12 12 2 74 34 73 166 214 575
1987 1 11 0 74 35 94 175 244 633
1987 2 4 2 58 28 66 155 216 529
1987 3 6 0 72 35 72 154 187 526
1987 4 3 2 48 25 42 137 169 426
1987 5 5 0 50 34 61 146 167 463
