year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 26 6 615 1016 1771 2510 1828 7772
1979 2 26 6 501 965 1683 2244 1646 7071
1979 3 29 9 596 999 1696 2331 1699 7359
1979 4 17 0 527 993 1673 2267 1588 7065
1979 5 12 7 537 930 1647 2276 1596 7005
1979 6 11 4 517 901 1599 2157 1636 6825
1979 7 15 10 542 885 1652 2227 1649 6980
1979 8 12 6 526 922 1614 2096 1546 6722
1979 9 22 8 505 851 1626 2093 1505 6610
1979 10 23 8 513 963 1737 2437 1753 7434
1979 11 21 5 535 970 1696 2353 1774 7354
1979 12 20 4 534 1050 1936 2676 1970 8190
1980 1 26 6 596 1088 1972 2809 2225 8722
1980 2 34 11 543 1044 2002 3000 2359 8993
1980 3 20 7 571 1044 1873 2676 2107 8298
1980 4 19 1 574 895 1718 2289 1669 7165
1980 5 22 7 569 943 1703 2331 1602 7177
1980 6 7 1 517 881 1630 2131 1607 6774
1980 7 9 4 537 913 1670 2318 1728 7179
1980 8 13 4 536 878 1636 2232 1603 6902
1980 9 11 3 477 864 1520 2026 1499 6400
1980 10 14 3 524 948 1801 2406 1728 7424
1980 11 20 3 539 1015 1817 2438 1989 7821
1980 12 24 10 730 1214 2320 3215 2818 10331
1981 1 34 8 650 1178 2209 3158 2728 9965
1981 2 25 2 524 878 1596 2227 1786 7038
1981 3 19 1 564 965 1697 2360 1760 7366
1981 4 10 2 506 909 1683 2233 1678 7021
1981 5 16 5 530 904 1698 2284 1786 7223
1981 6 12 4 510 865 1559 2059 1640 6649
1981 7 25 5 520 872 1637 2331 1800 7190
1981 8 17 3 475 884 1523 2080 1655 6637
1981 9 17 1 559 809 1505 2149 1637 6677
1981 10 23 1 546 980 1808 2423 1970 7751
1981 11 13 5 529 939 1683 2250 1858 7277
1981 12 14 7 568 1036 1818 2451 1993 7887
1982 1 18 5 605 1074 1934 2605 2086 8327
1982 2 21 1 478 876 1581 2275 1847 7079
1982 3 21 3 569 1004 1858 2606 1974 8035
1982 4 27 8 552 980 1829 2492 2016 7904
1982 5 10 7 529 934 1706 2446 1792 7424
1982 6 11 5 503 918 1574 2224 1605 6840
1982 7 15 5 539 968 1768 2302 1919 7516
1982 8 12 2 445 839 1542 2180 1672 6692
1982 9 16 2 490 847 1567 2087 1708 6717
1982 10 14 5 464 954 1715 2433 1854 7439
1982 11 7 2 469 976 1628 2303 1871 7256
1982 12 20 4 553 1005 1818 2548 1990 7938
1983 1 17 5 559 1071 1917 2693 2219 8481
1983 2 20 1 493 960 1796 2440 2202 7912
1983 3 20 4 554 952 1760 2621 2134 8045
1983 4 15 6 520 912 1767 2440 2027 7687
1983 5 15 3 562 973 1704 2320 1898 7475
1983 6 14 1 486 854 1657 2210 1755 6977
1983 7 18 4 544 865 1609 2218 1796 7054
1983 8 19 3 449 861 1595 2148 1806 6881
1983 9 16 3 474 809 1578 2120 1723 6723
1983 10 16 7 485 885 1630 2351 1935 7309
1983 11 20 3 491 930 1679 2434 2116 7673
1983 12 18 5 568 986 1885 2505 2182 8149
1984 1 19 4 572 1073 1896 2662 2358 8584
1984 2 12 6 522 897 1728 2373 2137 7675
1984 3 19 6 561 1004 1778 2491 2293 8152
1984 4 11 6 509 922 1697 2457 2071 7673
1984 5 15 6 529 846 1701 2322 1942 7361
1984 6 13 3 542 901 1767 2357 2000 7583
1984 7 17 6 503 866 1487 2147 1724 6750
1984 8 21 3 476 830 1471 2198 1763 6762
1984 9 15 4 475 809 1522 2144 1808 6777
1984 10 11 7 529 866 1549 2302 1979 7243
1984 11 21 5 523 892 1726 2406 1900 7473
1984 12 23 7 583 977 1784 2687 2250 8311
1985 1 23 14 648 1133 2148 3151 2767 9884
1985 2 18 3 524 912 1705 2522 2399 8083
1985 3 17 2 572 932 1737 2473 2095 7828
1985 4 19 3 525 858 1611 2293 1937 7246
1985 5 10 2 466 848 1685 2211 1829 7051
1985 6 11 7 498 817 1533 2090 1711 6667
1985 7 16 8 485 806 1530 2112 1876 6833
1985 8 12 4 469 748 1509 2081 1722 6545
1985 9 10 5 531 824 1456 2075 1796 6697
1985 10 20 3 530 829 1630 2354 2030 7396
1985 11 9 7 484 845 1556 2247 2060 7208
1985 12 12 6 627 1023 1757 2544 2317 8286
1986 1 20 4 595 917 1753 2602 2495 8386
1986 2 17 6 559 896 1728 2516 2254 7976
1986 3 16 7 516 876 1767 2527 2404 8113
1986 4 13 7 501 875 1611 2282 2024 7313
1986 5 27 5 503 859 1596 2239 1959 7188
1986 6 13 1 518 762 1512 2034 1800 6640
1986 7 24 2 492 750 1447 2042 1874 6631
1986 8 18 0 491 703 1385 1986 1627 6210
1986 9 15 8 477 724 1541 2059 1753 6577
1986 10 19 4 455 792 1559 2187 1869 6885
1986 11 23 3 530 872 1602 2266 2056 7352
1986 12 16 7 603 930 1766 2552 2313 8187
1987 1 27 3 561 976 1834 2627 2504 8532
1987 2 17 2 500 707 1540 2258 2130 7154
1987 3 18 6 561 853 1620 2314 2038 7410
1987 4 10 7 528 797 1548 2165 1994 7049
1987 5 13 5 524 870 1607 2275 2010 7304
1987 6 8 2 511 752 1489 2070 1867 6699
1987 7 8 4 512 763 1498 2116 1852 6753
1987 8 17 2 474 721 1388 1972 1865 6439
1987 9 17 2 454 712 1365 1995 1813 6358
1987 10 16 5 543 819 1624 2184 2165 7356
1987 11 13 1 503 756 1522 2261 2062 7118
1987 12 22 7 516 804 1624 2344 2060 7377
1988 1 12 4 554 873 1769 2514 2426 8152
1988 2 19 2 589 765 1572 2335 2270 7552
1988 3 29 4 564 880 1788 2516 2553 8334
1988 4 20 7 460 782 1533 2277 2064 7143
1988 5 19 2 514 764 1498 2197 2036 7030
1988 6 22 9 432 711 1449 2102 1808 6533
1988 7 19 8 494 740 1399 2029 1920 6609
1988 8 8 1 513 718 1460 2192 1984 6876
1988 9 20 4 466 701 1412 1999 1821 6423
1988 10 14 4 516 691 1547 2270 2194 7236
1988 11 16 8 495 752 1497 2180 1979 6927
1988 12 22 2 532 809 1604 2448 2324 7741
1989 1 23 12 537 784 1600 2472 2347 7775
1989 2 24 3 438 723 1474 2195 2123 6980
1989 3 21 3 544 738 1553 2402 2348 7609
1989 4 16 3 467 707 1378 2132 1964 6667
1989 5 22 1 494 688 1407 2127 1889 6628
1989 6 6 4 464 649 1306 1976 1767 6172
1989 7 13 3 489 678 1399 1935 1841 6358
1989 8 13 2 476 668 1296 1950 1790 6195
1989 9 19 3 432 641 1211 1900 1796 6002
1989 10 18 3 489 624 1449 2163 2051 6797
1989 11 22 3 467 699 1466 2140 2022 6819
1989 12 31 3 577 769 1599 2613 2454 8046
1990 1 22 5 556 879 1721 2756 2938 8877
1990 2 19 8 463 680 1387 2236 2162 6955
1990 3 16 3 489 662 1445 2274 2222 7111
1990 4 20 4 449 690 1461 2080 1945 6649
1990 5 17 3 431 650 1333 1980 1899 6313
1990 6 14 3 405 582 1319 1895 1888 6106
1990 7 18 3 459 609 1223 2003 1771 6086
1990 8 19 3 455 615 1264 1828 1800 5984
1990 9 16 9 399 582 1259 1906 1772 5943
1990 10 21 3 436 581 1267 2055 1932 6295
1990 11 16 6 439 731 1428 2135 2083 6838
1990 12 18 8 501 740 1552 2317 2254 7390
1991 1 33 7 561 739 1654 2549 2654 8197
1991 2 13 3 443 605 1262 2042 2091 6459
1991 3 16 5 499 668 1390 2128 2096 6802
1991 4 14 1 392 674 1392 1992 2038 6503
1991 5 16 6 431 635 1316 2025 1930 6359
1991 6 10 2 429 578 1237 1899 1795 5950
1991 7 10 5 481 643 1266 2004 1929 6338
1991 8 18 6 436 571 1221 1870 1835 5957
1991 9 15 4 444 547 1265 1869 1804 5948
1991 10 8 8 466 602 1284 2059 2048 6475
1991 11 12 3 444 607 1329 2111 2070 6576
1991 12 26 2 427 699 1450 2363 2476 7443
1992 1 25 8 533 716 1676 2670 2808 8436
1992 2 20 6 472 620 1326 2084 2192 6720
1992 3 22 6 469 655 1434 2064 2153 6803
1992 4 15 4 432 582 1375 1958 2002 6368
1992 5 21 3 447 671 1348 1997 2028 6515
1992 6 12 2 404 590 1305 1944 1880 6137
1992 7 19 5 430 592 1295 1816 1908 6065
1992 8 15 3 444 553 1216 1871 1899 6001
1992 9 12 1 399 521 1190 1900 1822 5845
1992 10 29 5 413 630 1342 2136 2021 6576
1992 11 19 5 430 612 1288 2026 2141 6521
1992 12 15 6 498 618 1481 2385 2446 7449
1993 1 15 3 489 673 1469 2376 2461 7486
1993 2 16 4 470 657 1576 2628 2737 8088
1993 3 19 6 459 719 1632 2719 2965 8519
1993 4 22 3 447 612 1299 2158 2206 6747
1993 5 12 2 413 550 1399 2097 1992 6465
1993 6 14 5 430 517 1211 1929 1996 6102
1993 7 16 1 479 624 1330 2076 2143 6669
1993 8 11 4 399 531 1251 1810 1845 5851
1993 9 13 11 396 502 1230 1798 1898 5848
1993 10 18 4 425 597 1321 2153 2219 6737
1993 11 15 6 407 584 1251 2068 2082 6413
1993 12 30 8 466 643 1385 2308 2408 7248
1994 1 13 4 510 696 1496 2444 2711 7874
1994 2 9 4 424 576 1336 2071 2261 6681
1994 3 17 7 460 584 1324 2100 2234 6726
1994 4 16 2 436 523 1268 1954 2084 6283
1994 5 24 4 426 566 1381 1974 2144 6519
1994 6 21 3 429 545 1189 1831 1904 5922
1994 7 10 4 432 495 1191 1869 2060 6061
1994 8 9 1 422 509 1153 1853 2004 5951
1994 9 11 4 404 498 1122 1799 1932 5770
1994 10 21 10 436 541 1215 1991 2189 6403
1994 11 12 3 427 507 1236 1950 2156 6291
1994 12 21 6 488 599 1496 2308 2694 7612
1995 1 21 1 542 626 1597 2600 2987 8374
1995 2 13 5 453 569 1318 2187 2420 6965
1995 3 17 1 442 577 1300 2177 2369 6883
