year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 5 3 14 6 16 48 62 154
1979 2 3 4 4 6 19 24 44 104
1979 3 2 0 6 2 11 10 21 52
1979 4 3 0 1 2 6 16 19 47
1979 5 0 0 0 0 4 9 7 20
1979 6 0 1 2 0 3 7 9 22
1979 7 0 0 1 0 2 6 5 14
1979 8 0 0 0 2 3 5 8 18
1979 9 1 0 0 0 3 6 11 21
1979 10 0 0 1 2 2 8 12 25
1979 11 1 0 0 7 6 11 21 46
1979 12 2 0 4 1 9 19 46 81
1980 1 4 0 8 8 27 71 112 230
1980 2 6 4 28 22 83 234 380 757
1980 3 3 3 15 26 91 246 402 786
1980 4 0 2 4 7 11 36 60 120
1980 5 1 0 0 2 5 8 3 19
1980 6 1 0 0 2 2 4 6 15
1980 7 0 0 0 2 4 8 2 16
1980 8 0 0 0 1 0 2 2 5
1980 9 0 0 1 0 4 7 16 28
1980 10 2 0 1 2 3 19 23 50
1980 11 1 1 4 0 9 20 18 53
1980 12 6 0 26 39 82 206 264 623
1981 1 13 5 61 102 267 612 900 1960
1981 2 3 6 25 30 73 203 329 669
1981 3 0 1 8 6 19 44 43 121
1981 4 1 0 3 1 8 16 15 44
1981 5 1 0 2 0 1 9 8 21
1981 6 1 0 2 0 2 1 7 13
1981 7 1 0 2 0 3 5 4 15
1981 8 1 0 1 0 2 3 1 8
1981 9 0 0 1 0 4 8 7 20
1981 10 0 0 4 2 9 13 20 48
1981 11 0 0 4 1 5 9 12 31
1981 12 0 0 3 5 6 16 26 56
1982 1 5 1 3 3 7 20 44 83
1982 2 1 0 8 5 8 19 39 80
1982 3 2 3 8 9 25 54 70 171
1982 4 2 0 6 6 13 26 68 121
1982 5 0 0 4 3 8 15 23 53
1982 6 0 0 1 0 2 5 9 17
1982 7 0 0 0 1 1 5 5 12
1982 8 0 0 1 1 1 4 8 15
1982 9 0 1 1 1 2 7 9 21
1982 10 0 0 2 3 5 8 14 32
1982 11 1 0 1 6 3 9 11 31
1982 12 1 0 4 2 11 26 48 92
1983 1 1 0 7 10 38 89 154 299
1983 2 3 1 21 18 51 129 220 443
1983 3 4 1 7 11 40 91 164 318
1983 4 3 0 5 8 13 25 62 116
1983 5 0 0 1 1 13 9 20 44
1983 6 0 0 1 1 5 6 10 23
1983 7 0 0 3 0 2 4 7 16
1983 8 1 0 0 1 2 4 8 16
1983 9 0 0 0 3 1 7 11 22
1983 10 1 0 1 1 5 7 13 28
1983 11 0 0 0 2 6 11 18 37
1983 12 1 1 3 11 7 18 28 69
1984 1 2 2 2 1 9 28 46 90
1984 2 3 4 18 17 41 101 145 329
1984 3 3 0 11 11 39 107 143 314
1984 4 0 2 8 10 19 41 66 146
1984 5 1 0 1 0 2 16 15 35
1984 6 0 1 0 1 1 4 7 14
1984 7 0 0 1 0 0 2 3 6
1984 8 0 0 2 0 0 3 3 8
1984 9 0 1 1 1 2 3 8 16
1984 10 0 1 3 1 1 4 10 20
1984 11 0 0 1 2 6 10 19 38
1984 12 1 0 5 5 6 25 39 81
1985 1 4 1 17 18 45 122 265 472
1985 2 4 4 26 45 110 298 539 1026
1985 3 3 0 6 20 33 89 138 289
1985 4 0 1 2 2 7 17 37 66
1985 5 0 0 1 0 2 7 13 23
1985 6 0 0 1 0 1 4 5 11
1985 7 0 0 0 0 2 1 3 6
1985 8 1 0 0 0 2 3 1 7
1985 9 0 0 2 1 0 3 7 13
1985 10 0 0 1 0 3 15 13 32
1985 11 0 1 2 2 4 15 17 41
1985 12 1 0 3 2 5 25 30 66
1986 1 4 4 11 4 24 66 121 234
1986 2 2 4 37 30 78 248 396 795
1986 3 4 2 18 15 50 146 247 482
1986 4 1 1 0 1 9 23 34 69
1986 5 0 0 3 1 4 3 8 19
1986 6 1 0 0 0 0 3 6 10
1986 7 0 0 0 0 3 2 5 10
1986 8 0 0 0 1 3 2 7 13
1986 9 0 0 1 0 3 6 10 20
1986 10 1 0 3 1 5 13 18 41
1986 11 1 1 3 1 3 8 17 34
1986 12 1 2 4 3 27 25 50 112
1987 1 4 1 13 14 25 56 127 240
