year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 200 31 403 354 797 1489 1753 5027
1979 2 150 29 297 298 646 1207 1390 4017
1979 3 168 20 318 284 651 1214 1349 4004
1979 4 111 18 278 325 680 1168 1296 3876
1979 5 84 16 278 264 574 1136 1255 3607
1979 6 74 11 249 270 548 991 990 3133
1979 7 82 10 229 221 507 982 961 2992
1979 8 69 10 222 273 533 980 1003 3090
1979 9 80 11 235 272 488 1032 1056 3174
1979 10 108 16 267 310 607 1180 1290 3778
1979 11 110 16 236 269 605 1200 1317 3753
1979 12 153 24 307 374 711 1429 1611 4609
1980 1 166 27 399 394 827 1647 2018 5478
1980 2 177 36 449 439 1053 2157 2711 7022
1980 3 130 19 403 413 968 2015 2626 6574
1980 4 99 11 275 340 691 1300 1444 4160
1980 5 84 12 242 306 572 1081 1172 3469
1980 6 86 9 241 275 489 974 1102 3176
1980 7 85 10 184 265 532 1042 1198 3316
1980 8 62 13 242 291 562 1048 1055 3273
1980 9 72 5 216 234 532 963 1062 3084
1980 10 86 19 229 278 618 1228 1363 3821
1980 11 111 13 249 309 705 1325 1484 4196
1980 12 125 21 454 507 1126 2235 2614 7082
1981 1 148 30 608 765 1623 3286 4219 10679
1981 2 124 22 324 396 878 1750 2242 5736
1981 3 120 11 297 335 715 1449 1718 4645
1981 4 86 8 271 271 590 1246 1414 3886
1981 5 73 16 212 285 538 1101 1247 3472
1981 6 64 13 247 254 503 994 1119 3194
1981 7 63 11 216 254 509 992 1131 3176
1981 8 62 5 239 257 528 1000 1063 3154
1981 9 49 8 203 259 539 982 1157 3197
1981 10 86 8 268 314 628 1286 1492 4082
1981 11 60 15 244 296 599 1241 1427 3882
1981 12 119 15 323 351 708 1436 1715 4667
1982 1 122 17 306 367 749 1613 1920 5094
1982 2 82 10 267 328 635 1304 1624 4250
1982 3 124 19 332 359 784 1580 1826 5024
1982 4 102 12 290 322 734 1422 1800 4682
1982 5 66 16 244 280 623 1206 1478 3913
1982 6 57 11 246 252 567 1030 1215 3378
