year month d0 d10 d40 d60 d70 d80 d90 dtot
1979 1 441 99 7497 13369 24292 31558 24161 101417
1979 2 396 91 6432 11742 21527 27804 20746 88738
1979 3 407 64 6917 12466 22638 29323 21667 93482
1979 4 303 63 6607 11919 21925 27888 20953 89658
1979 5 261 62 6782 12124 22098 28080 20974 90381
1979 6 193 50 6292 11471 20608 26110 19318 84042
1979 7 235 72 6562 11332 20677 26159 19399 84436
1979 8 212 52 6280 11072 20347 25490 19030 82483
1979 9 264 55 5982 10603 19783 25613 19208 81508
1979 10 315 74 6423 11886 21903 28530 21526 90657
1979 11 321 77 6343 11538 21814 28070 21832 89995
1979 12 384 73 6961 12524 23679 31029 24361 99011
1980 1 415 92 7038 12877 24306 32254 25807 102789
1980 2 423 99 6786 12569 23898 32648 27159 103582
1980 3 361 88 6852 12618 24602 33016 26820 104357
1980 4 324 65 6399 11659 22427 28274 22003 91151
1980 5 260 56 6374 11828 22326 27808 20512 89164
1980 6 257 63 6148 11353 20642 25930 19446 83839
1980 7 249 65 6516 11596 21516 27185 20607 87734
1980 8 218 80 6222 11132 20363 26264 19764 84043
1980 9 223 50 5929 10597 19879 25054 19359 81091
1980 10 276 80 6230 11645 22139 28633 22002 91005
1980 11 317 64 6295 11775 22130 29034 22716 92331
1980 12 383 69 7476 13575 26408 35386 29129 112426
1981 1 416 89 7585 14533 28290 38746 33824 123483
1981 2 349 73 6142 11705 22286 29532 24153 94240
1981 3 381 62 6672 12107 23416 29877 23726 96241
1981 4 247 52 6337 11552 21980 27806 21614 89588
1981 5 241 72 6410 12026 22127 27812 21270 89958
1981 6 203 73 6042 11014 20561 25909 20015 83817
1981 7 227 70 6319 11188 20651 26253 20692 85400
1981 8 208 64 6100 10853 19963 25813 20281 83282
1981 9 232 58 6019 10604 19952 25419 19976 82260
1981 10 293 64 6238 11686 22137 28533 23032 91983
1981 11 262 76 6134 11383 21828 28195 22570 90448
1981 12 335 81 6758 12571 23715 31171 25048 99679
1982 1 352 83 6738 13053 24746 32990 26301 104263
1982 2 286 50 5915 10996 21008 27578 22566 88399
1982 3 341 82 6580 12185 23757 31209 25015 99169
1982 4 292 73 6260 11649 23336 30143 24483 96236
1982 5 249 77 6333 11673 22612 29136 22839 92919
1982 6 196 71 5925 11102 20927 26905 20719 85845
1982 7 214 75 6139 11311 21396 27118 21823 88076
1982 8 197 66 5816 10743 20169 26380 20742 84113
1982 9 230 66 5598 10423 20279 26146 21049 83791
1982 10 281 72 5939 11403 21789 28930 22837 91251
1982 11 262 57 5912 11230 21516 28236 22921 90134
1982 12 326 77 6296 11989 23047 30839 24837 97411
1983 1 363 89 6555 12622 24584 33248 27657 105118
1983 2 382 77 5938 11796 22929 31035 26418 98575
1983 3 339 65 6369 12241 24153 33033 27467 103667
1983 4 290 70 6202 11755 23061 30414 25494 97286
1983 5 250 62 6203 11663 22681 29351 23338 93548
1983 6 240 52 5867 10887 21233 27029 21342 86650
1983 7 226 60 5964 11236 21034 27760 22461 88741
1983 8 245 53 5751 10606 20171 26669 21529 85024
1983 9 239 44 5553 10263 19861 26209 21071 83240
1983 10 289 69 5892 11012 21505 28779 23515 91061
1983 11 291 62 5900 11146 21778 29332 24247 92756
1983 12 379 64 6471 12650 24421 33069 27473 104527
1984 1 387 100 6540 12335 24372 33100 28738 105572
1984 2 343 96 6068 11445 22261 30662 25956 96831
1984 3 318 68 6253 12289 24261 32861 27990 104040
1984 4 258 71 5869 11560 22763 31119 25656 97296
1984 5 242 68 6068 11459 22301 29730 24177 94045
1984 6 213 66 5834 10790 21255 27735 22161 88054
1984 7 221 65 5731 10698 20553 26927 21835 86030
1984 8 224 62 5575 10424 19968 26892 21549 84694
1984 9 240 69 5419 10167 19872 26813 21770 84350
1984 10 269 62 5709 10880 21246 28740 23732 90638
1984 11 296 60 6041 11160 22051 29892 24472 93972
1984 12 331 73 6272 12069 23919 33031 27879 103574
1985 1 333 103 6869 13238 26718 37820 32896 117977
1985 2 305 74 6168 11902 24458 35125 31327 109359
1985 3 334 62 6137 11682 23753 33127 28257 103352
1985 4 292 54 5815 11116 22057 30090 24577 94001
1985 5 256 70 6012 11122 21741 28956 23736 91893
1985 6 212 67 5645 10156 20297 27136 21965 85478
1985 7 231 65 5697 10360 20496 27301 22317 86467
1985 8 215 50 5741 10183 19847 26873 22040 84949
1985 9 238 54 5450 10167 19853 27084 22391 85237
1985 10 264 60 5695 10580 21571 29278 25329 92777
1985 11 281 61 5667 10732 21180 29198 25131 92250
1985 12 373 65 6408 12063 24392 33730 29129 106160
1986 1 416 78 6577 12173 24869 35488 31377 110978
1986 2 291 102 5784 11228 23141 32681 29098 102325
1986 3 306 74 6278 11784 24335 34174 30188 107139
1986 4 273 59 5903 10848 22153 30391 25696 95323
1986 5 237 58 5842 10720 21612 29626 24482 92577
1986 6 222 49 5659 10006 20021 27535 22712 86204
1986 7 216 60 5697 10309 20826 27986 23557 88651
1986 8 226 44 5480 9883 19776 27376 22354 85139
1986 9 238 56 5533 9629 19926 27255 22868 85505
1986 10 230 48 5690 10273 21444 29274 24859 91818
1986 11 298 57 5833 10529 21824 30329 25627 94497
1986 12 334 81 6302 11492 23807 33725 28932 104673
1987 1 359 71 6606 11978 25243 35776 31314 111347
1987 2 310 47 5614 10055 21781 30237 26724 94768
1987 3 307 79 6298 11073 23589 33454 28774 103574
1987 4 258 69 5861 10662 22118 30907 26205 96080
1987 5 214 62 5861 10457 21759 30134 25045 93532
1987 6 210 41 5579 9727 20332 27743 23592 87224
1987 7 186 72 5814 9951 20476 28412 24146 89057
1987 8 218 52 5443 9600 19888 27719 24008 86928
1987 9 234 70 5297 9325 19434 27761 23821 85942
1987 10 267 64 5859 10137 21662 30704 27189 95882
1987 11 276 53 5668 9926 21219 30478 26912 94532
1987 12 360 75 6228 10897 22968 33505 29711 103744
1988 1 355 61 6302 11413 24427 36436 33284 112278
1988 2 323 62 6155 10791 23716 35034 32658 108739
1988 3 314 66 6192 11121 24661 35913 32943 111210
1988 4 253 47 5631 10176 21901 31326 26789 96123
1988 5 229 64 5865 10100 21503 30562 26110 94433
1988 6 210 64 5409 9589 20171 28214 23959 87616
1988 7 212 58 5726 9591 20115 28348 24287 88337
